"SIM","YEAR","FMORT"
1,1,0.0504642854936234
1,2,0.0498604466239067
1,3,0.0412276260897933
1,4,0.0564485210416139
1,5,0.0559079130790242
1,6,0.0508758866417169
1,7,0.0559481243030676
1,8,0.0413230022856914
1,9,0.0536790600436068
1,10,0.0405559305415713
1,11,0.0458862961335447
1,12,0.0455506621878933
1,13,0.0604496475707175
1,14,0.0547936557350716
1,15,0.0430077365517941
1,16,0.0581505040411299
1,17,0.0505246097563733
1,18,0.0452302431241189
1,19,0.0547074033042001
1,20,0.0510244624250717
1,21,0.0511774938774452
1,22,0.0495561902963355
1,23,0.0583228071427406
1,24,0.047740197802291
1,25,0.0483888684684079
1,26,0.0434262651456089
1,27,0.0472890058207213
1,28,0.0594549145743017
1,29,0.0470207477732656
1,30,0.0452628689110989
1,31,0.0408931945845178
1,32,0.0423270367942241
1,33,0.0580325305452496
1,34,0.0582653308564516
1,35,0.0416256306863956
1,36,0.0509360654139348
1,37,0.0446359242521794
1,38,0.05567186232015
1,39,0.0591682708408248
1,40,0.0462982682071442
1,41,0.0417658358178733
1,42,0.0429806414751605
1,43,0.0408067049694044
1,44,0.0403914699715911
1,45,0.0527551578689056
1,46,0.0455084531721944
1,47,0.04702359179347
1,48,0.0443976419846274
1,49,0.055032772736635
1,50,0.0568049845084643
1,51,0.0591748658684399
1,52,0.0426674654434178
1,53,0.050002875342193
1,54,0.0547434373353602
1,55,0.0408755454472828
1,56,0.0421046559887965
1,57,0.0437397144948514
1,58,0.0459012959170744
1,59,0.0508130708029887
1,60,0.0456738461055843
1,61,0.0420376985973809
2,1,0.0552887067977757
2,2,0.0423753605649403
2,3,0.049380177372851
2,4,0.0532730967650634
2,5,0.0438812124389915
2,6,0.0586639138208386
2,7,0.0472901311646413
2,8,0.0409438122795316
2,9,0.0429147610897329
2,10,0.0479194514498987
2,11,0.0531788483031296
2,12,0.0418757903020505
2,13,0.0583426873967876
2,14,0.0435595123154821
2,15,0.0424223852788431
2,16,0.042100711234549
2,17,0.0576548155044556
2,18,0.0424336317792582
2,19,0.0510829077386497
2,20,0.060745641709324
2,21,0.0438068692060431
2,22,0.040424498784594
2,23,0.0409541494526505
2,24,0.0406406528450543
2,25,0.0415376301445487
2,26,0.0592026048823591
2,27,0.0572841988532631
2,28,0.0498888231707428
2,29,0.0437117888920673
2,30,0.0456320779778318
2,31,0.0597196219408662
2,32,0.0478904059195872
2,33,0.0409379947710088
2,34,0.0545753660945684
2,35,0.0578083834402151
2,36,0.0432848553952553
2,37,0.047618123913531
2,38,0.0517347148254218
2,39,0.0473154366399447
2,40,0.0572773902669516
2,41,0.0415667920138716
2,42,0.0460502928488355
2,43,0.0455518311258526
2,44,0.0404681692218852
2,45,0.0440272577123335
2,46,0.0474015417832391
2,47,0.0445778762707094
2,48,0.0509474628089469
2,49,0.0496992276465443
2,50,0.0413123898041567
2,51,0.0407496787836394
2,52,0.0608054027633332
2,53,0.0585922880221426
2,54,0.0431072814675808
2,55,0.0483841224018006
2,56,0.0598380788257256
2,57,0.0468115383050734
2,58,0.0541735250488989
2,59,0.041086385765843
2,60,0.0421135517790269
2,61,0.0483608807070104
3,1,0.053858421497496
3,2,0.056825135679737
3,3,0.0465712675656463
3,4,0.0422947040646973
3,5,0.0529178287796872
3,6,0.0549795761872067
3,7,0.0488576328502016
3,8,0.0529413559411992
3,9,0.0548089511821258
3,10,0.0429430056100906
3,11,0.0550242373132566
3,12,0.0489074455406665
3,13,0.0458531713653312
3,14,0.0410647723821142
3,15,0.0490582106846355
3,16,0.056328975323333
3,17,0.0416023148802612
3,18,0.0503889415498454
3,19,0.0471355106793938
3,20,0.0583281369561631
3,21,0.0449316762211394
3,22,0.0582335901225344
3,23,0.0414517029089149
3,24,0.04679363131752
3,25,0.0472258514550699
3,26,0.0549954846196537
3,27,0.0513302719947408
3,28,0.0540122601153182
3,29,0.0461660558211687
3,30,0.0468202552860224
3,31,0.0443705705577967
3,32,0.0474941920881466
3,33,0.0447151596706134
3,34,0.0593268863772589
3,35,0.0576509732431874
3,36,0.0497190675389609
3,37,0.0448150054417979
3,38,0.0592857106702748
3,39,0.04429922552573
3,40,0.0578601225072692
3,41,0.0484573329594343
3,42,0.0424347059064789
3,43,0.0420096089512361
3,44,0.0413756615155322
3,45,0.0412847247526239
3,46,0.0514072477017914
3,47,0.0560492278374998
3,48,0.0509956251469448
3,49,0.0556831178582504
3,50,0.0501967907479726
3,51,0.0491886868365645
3,52,0.0513955917694609
3,53,0.0562519786103272
3,54,0.0515417428035625
3,55,0.0413815270266024
3,56,0.0456708885635113
3,57,0.046355040995849
3,58,0.0447449869592549
3,59,0.0420969792129218
3,60,0.0521713256388473
3,61,0.0535780472728475
4,1,0.0516993336415383
4,2,0.0606099053244031
4,3,0.0460670357354062
4,4,0.0461346893086375
4,5,0.0402564363903194
4,6,0.0477454080617124
4,7,0.0541315787119933
4,8,0.0575903293893373
4,9,0.050468016901744
4,10,0.0441496978657464
4,11,0.043280454624878
4,12,0.0536049205904684
4,13,0.0539190540901142
4,14,0.0453408642031892
4,15,0.0516660158343268
4,16,0.0436049939716738
4,17,0.0426936944253692
4,18,0.0523637476046212
4,19,0.0488497593066476
4,20,0.0409815966426542
4,21,0.0471523232183002
4,22,0.0458136224436532
4,23,0.0497856466310261
4,24,0.0417084789895082
4,25,0.0411451141401253
4,26,0.0420038235736572
4,27,0.0537882149254315
4,28,0.0418814604104293
4,29,0.0446229983264168
4,30,0.0547473729583487
4,31,0.0511171271027495
4,32,0.0535743490375939
4,33,0.0488764420374184
4,34,0.0590389841978667
4,35,0.0434126648786369
4,36,0.0531206254944676
4,37,0.0424619893787108
4,38,0.042606764700906
4,39,0.0565617852895746
4,40,0.0424085942824325
4,41,0.049625754436193
4,42,0.0437447074483366
4,43,0.0464357694441111
4,44,0.0432231640719001
4,45,0.0537262473585292
4,46,0.0517108289344824
4,47,0.0569745609818159
4,48,0.0549903511147598
4,49,0.0513228844700823
4,50,0.0432684100439288
4,51,0.059668347475971
4,52,0.0464763220520903
4,53,0.0601021776900263
4,54,0.0455276563655255
4,55,0.0410208183181518
4,56,0.049556627971177
4,57,0.0458380113661744
4,58,0.0571590848020709
4,59,0.0570387196835226
4,60,0.0475090617296261
4,61,0.0593938387858097
5,1,0.0474021895379578
5,2,0.0410317065646049
5,3,0.0423174019592071
5,4,0.0495008462715832
5,5,0.0519441918246005
5,6,0.0473544775962322
5,7,0.0500991433999483
5,8,0.0441517536864315
5,9,0.0475856647587686
5,10,0.0541567148501527
5,11,0.0601297308627906
5,12,0.0405638797441
5,13,0.0411221812330822
5,14,0.0437639680647304
5,15,0.0552861119675656
5,16,0.0442128307698345
5,17,0.0461505615265571
5,18,0.0464300431539152
5,19,0.0591400629237879
5,20,0.0514360170997503
5,21,0.0525321239591692
5,22,0.0445847363557524
5,23,0.0427407409973374
5,24,0.0453865646186521
5,25,0.0547603734856257
5,26,0.0450139250604701
5,27,0.0427179477242551
5,28,0.0508960004631924
5,29,0.0590489514577872
5,30,0.0469351709170796
5,31,0.0415033580885297
5,32,0.0597732755902309
5,33,0.0421004712046772
5,34,0.0497410980928126
5,35,0.0599871422686926
5,36,0.0415829135795964
5,37,0.0484620894642337
5,38,0.0477281677054858
5,39,0.0554683195736633
5,40,0.0408172331896112
5,41,0.0477092657589705
5,42,0.0549031015275617
5,43,0.0600089880057443
5,44,0.0478941388508077
5,45,0.0562827018321855
5,46,0.0563938504187299
5,47,0.0607804497341021
5,48,0.0477181645656792
5,49,0.0454296777634766
5,50,0.0423130403871973
5,51,0.0484441569046397
5,52,0.0470771051400387
5,53,0.0444111038777166
5,54,0.0450124919580944
5,55,0.0509557987924352
5,56,0.0429933830000348
5,57,0.0516746336710595
5,58,0.0597919336886474
5,59,0.0474068432189496
5,60,0.0503249457045384
5,61,0.0541523304745392
6,1,0.0436092322152469
6,2,0.0524365021565152
6,3,0.0497978096289947
6,4,0.0424302568985529
6,5,0.0500767944482722
6,6,0.0498515672740641
6,7,0.0460628221261494
6,8,0.050695520731092
6,9,0.0414453131330678
6,10,0.0439118570631186
6,11,0.0561677996023088
6,12,0.0440789770465639
6,13,0.0518113059832536
6,14,0.0481132857905209
6,15,0.0467557551854525
6,16,0.0532450092177166
6,17,0.0408397172653811
6,18,0.0566822872769412
6,19,0.0552348466453652
6,20,0.0405904577673317
6,21,0.0406499250881018
6,22,0.0547672930626593
6,23,0.0434727016159664
6,24,0.0596819198690488
6,25,0.0406406114452524
6,26,0.0435861757485423
6,27,0.0482520967959723
6,28,0.043182144164461
6,29,0.0404206554822055
6,30,0.0540157968149912
6,31,0.0581504513241773
6,32,0.0557630685580812
6,33,0.0523427268316216
6,34,0.0524885979246251
6,35,0.0464888215555071
6,36,0.0459678181844668
6,37,0.0487424727418548
6,38,0.0559603047282918
6,39,0.0511894546653561
6,40,0.0425809934963139
6,41,0.0415228718378667
6,42,0.046684537369087
6,43,0.0454108878950707
6,44,0.0520580377657503
6,45,0.0470514491618689
6,46,0.0551165205220373
6,47,0.0569227352155379
6,48,0.0417786046942705
6,49,0.054270514795963
6,50,0.0467243676068059
6,51,0.0465898457221619
6,52,0.0475540761508503
6,53,0.0432169893928634
6,54,0.0542716623432602
6,55,0.0441967903402171
6,56,0.0444512247491037
6,57,0.0450836599469988
6,58,0.0461669199901598
6,59,0.0475759016916375
6,60,0.0506311731750391
6,61,0.0604441378256842
7,1,0.0572144257854549
7,2,0.046962020101708
7,3,0.0520664798331591
7,4,0.0445603450307917
7,5,0.0595202530557355
7,6,0.0409159219978877
7,7,0.0602980311600152
7,8,0.054776537859866
7,9,0.0529203190066261
7,10,0.0470001100921661
7,11,0.0511722610231592
7,12,0.0475342618091384
7,13,0.0437256118190831
7,14,0.0461253706014986
7,15,0.0469452832917759
7,16,0.0499974600921166
7,17,0.0413072403112952
7,18,0.0432341815746018
7,19,0.0407059690839663
7,20,0.0565217333468298
7,21,0.0409796641034778
7,22,0.0425769763803787
7,23,0.0532810378737323
7,24,0.041951271316234
7,25,0.0595587789789683
7,26,0.0543492462615401
7,27,0.0461795313646621
7,28,0.0477717411585776
7,29,0.0421846411709248
7,30,0.0455486505706502
7,31,0.0472578207593621
7,32,0.0418384490486286
7,33,0.0471968158092406
7,34,0.0489724651846898
7,35,0.0569578279285256
7,36,0.050466415861725
7,37,0.0466410751636849
7,38,0.0406172433350008
7,39,0.0448623710864357
7,40,0.0573877666822795
7,41,0.0436712360632052
7,42,0.0441662309335598
7,43,0.0480751788754579
7,44,0.0545568568325174
7,45,0.0431827358567833
7,46,0.0522797390605237
7,47,0.0522884651648398
7,48,0.0428993877628966
7,49,0.0576311073782495
7,50,0.0463945731732345
7,51,0.0555879797213175
7,52,0.0492629910065277
7,53,0.0492219931793788
7,54,0.0549804831825899
7,55,0.0545645827410522
