"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG"
11,0,0.499749351549267,6.38353826980497,"MED MED","early","med","R1"
60,0,0.499218548634209,6.12899154286237,"MED MED","early","med","R1"
2,2,2.4996123503248,11.9646641636921,"MED MED","early","med","R1"
56,3,3.50071749183267,14.4939226054011,"MED MED","early","med","R1"
40,9,9.49971101723319,18.7080145243174,"MED MED","early","med","R1"
63,1,1.49851352222062,10.5827854419651,"MED MED","early","med","R1"
47,1,1.50046156942011,9.97042004118102,"MED MED","early","med","R1"
29,3,3.498698934825,15.3133144992111,"MED MED","early","med","R1"
72,1,1.49928642994194,10.2125756853323,"MED MED","early","med","R1"
60,0,0.501113505445984,6.4125590836357,"MED MED","early","med","R1"
27,2,2.50020097668631,12.1022593932685,"MED MED","early","med","R1"
50,1,1.50121443292772,9.8441454659337,"MED MED","early","med","R1"
77,0,0.499034156487627,6.3460570541506,"MED MED","late","med","R1"
67,0,0.4996792086431,6.24204505158617,"MED MED","early","med","R1"
7,0,0.500837936512595,6.32307326859058,"MED MED","early","med","R1"
91,1,1.50169494182728,9.67398974738158,"MED MED","late","med","R1"
18,3,3.49870513653813,15.3368461673618,"MED MED","early","med","R1"
46,3,3.50017015209914,13.2680197665787,"MED MED","early","med","R1"
27,4,4.50016817674877,16.3123319781424,"MED MED","early","med","R1"
65,2,2.50032453057119,12.2423101768141,"MED MED","early","med","R1"
87,2,2.49921031573048,12.9147758990464,"MED MED","late","med","R1"
42,2,2.50177771377916,12.5302137969944,"MED MED","early","med","R1"
76,3,3.50232785960571,15.5606412994494,"MED MED","late","med","R1"
80,4,4.49996422300025,17.294418151745,"MED MED","late","med","R1"
82,0,0.502242045375525,6.22642141533055,"MED MED","late","med","R1"
58,0,0.501978497491933,6.41853968335415,"MED MED","early","med","R1"
80,0,0.500217323475598,6.48889483826878,"MED MED","late","med","R1"
28,4,4.49863666950285,19.3401747726862,"MED MED","early","med","R1"
72,3,3.49895987372334,14.3604209307618,"MED MED","early","med","R1"
48,5,5.49954736025032,15.7385510398298,"MED MED","early","med","R1"
73,2,2.5008130870156,13.465541336914,"MED MED","early","med","R1"
57,0,0.501648816916352,6.67761026335081,"MED MED","early","med","R1"
96,0,0.500188994579035,6.51527092820384,"MED MED","late","med","R1"
46,2,2.50082646365556,11.8735229228354,"MED MED","early","med","R1"
10,10,10.5003281557056,16.5355176175183,"MED MED","early","med","R1"
35,3,3.49987966034068,15.214812655435,"MED MED","early","med","R1"
39,0,0.499094141442544,6.43326995179081,"MED MED","early","med","R1"
41,5,5.5020320741485,17.887801634253,"MED MED","early","med","R1"
14,3,3.49919036519437,12.9278061380962,"MED MED","early","med","R1"
30,1,1.50104934421398,9.86240761305598,"MED MED","early","med","R1"
80,0,0.500654993890713,6.26690563523437,"MED MED","late","med","R1"
16,3,3.50013323837206,15.8891599996173,"MED MED","early","med","R1"
34,2,2.49836560180673,12.6517119116652,"MED MED","early","med","R1"
16,4,4.4996781542602,18.146546524074,"MED MED","early","med","R1"
96,1,1.49872782930218,10.4908366085384,"MED MED","late","med","R1"
41,1,1.49991654903735,10.2519581967248,"MED MED","early","med","R1"
47,3,3.49933194519798,14.7402525374801,"MED MED","early","med","R1"
64,0,0.498763559977554,6.37493034266232,"MED MED","early","med","R1"
34,6,6.50051577458893,19.8047241834395,"MED MED","early","med","R1"
78,2,2.49988436385313,12.1743393108139,"MED MED","late","med","R1"
47,0,0.500415977268539,6.20287982472883,"MED MED","early","med","R1"
22,0,0.500560488372,6.25778149121696,"MED MED","early","med","R1"
42,8,8.50064334099052,18.6837577862615,"MED MED","early","med","R1"
63,1,1.50149637453828,10.1166950161359,"MED MED","early","med","R1"
80,0,0.500605099963871,6.26278693747638,"MED MED","late","med","R1"
66,4,4.49881907299339,15.7686835620476,"MED MED","early","med","R1"
39,0,0.501741214017419,6.12716100954552,"MED MED","early","med","R1"
97,0,0.500470341569644,6.29980514671889,"MED MED","late","med","R1"
8,3,3.5003224118767,14.1595927800336,"MED MED","early","med","R1"
5,0,0.500833006057527,6.38112531236228,"MED MED","early","med","R1"
68,0,0.497629951619695,6.36654076602823,"MED MED","early","med","R1"
13,9,9.49979439379086,19.4234604739368,"MED MED","early","med","R1"
47,5,5.49972100041552,15.3933989905377,"MED MED","early","med","R1"
16,2,2.49862223587614,13.1085313222137,"MED MED","early","med","R1"
87,2,2.4990520007985,12.3450294496349,"MED MED","late","med","R1"
21,1,1.50012737772518,10.0794692443156,"MED MED","early","med","R1"
55,9,9.49902388927363,19.5927998934035,"MED MED","early","med","R1"
46,7,7.49916420302097,17.8695095831949,"MED MED","early","med","R1"
40,2,2.50206406410468,13.1625805244599,"MED MED","early","med","R1"
51,0,0.500136746560708,6.42311404671912,"MED MED","early","med","R1"
26,2,2.49956816551908,11.9382893161199,"MED MED","early","med","R1"
77,3,3.49914027382737,14.429956089194,"MED MED","late","med","R1"
58,3,3.50093915947314,15.313190864978,"MED MED","early","med","R1"
83,3,3.49989504207652,14.3383132554657,"MED MED","late","med","R1"
58,3,3.50018650505679,15.552006567535,"MED MED","early","med","R1"
74,0,0.500184305223776,6.25034396780461,"MED MED","early","med","R1"
36,0,0.500732793815447,6.12921498327789,"MED MED","early","med","R1"
14,5,5.49806733027941,16.9252196357182,"MED MED","early","med","R1"
6,2,2.50006620899006,12.2679199128693,"MED MED","early","med","R1"
22,0,0.499989437820011,6.14309992719227,"MED MED","early","med","R1"
45,0,0.499292665885413,6.21996041729549,"MED MED","early","med","R1"
