"year","month","fleet","gender","partition","Nsamp","F.999","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","M.999","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M36","M37","M38","M39","M40"
2003,"Enter Month","Enter Fleet",3,0,605,0.616720804845634,3.55124297298335,3.5219426942056,21.4763560276172,8.80968214713286,1.94167747890283,0.838785474636235,0.743459441756614,3.14165212748657,0.173070141881154,0.786853014097545,0.638614331497101,0.0200376666677323,0.0743485790928177,0,0,0,0,0,0.187936344476843,0,0,0,0,0,0,0,0,0,0,0,0,0.0362107881729319,0,0.0719209420861721,0,0,0,0,0,0,1.11260167398746,2.10145885525919,2.79736506879084,19.9799514423414,19.0074790542531,2.65114297612066,3.38485673762194,0.159435323903164,1.39582628419802,0.240146349622661,0.0469190914960227,0,0.0921360265090935,0,0,0,0,0.188537105588473,0,0,0.0451677498928204,0,0,0,0,0.166465282876098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Enter Month","Enter Fleet",3,0,461,4.72603234298108,2.33608128286301,4.02234325242471,12.3318078195696,16.4096392415917,9.90293971742628,2.90349568813392,0.0298298446491578,0.7495062315214,0.612596289428688,0.387161798729045,0,0.0498833882105629,0.0989609104403761,0,0,0.154219177574152,0.374786391117271,0.065125922873108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7313291747406,1.85807776069676,8.48529457629536,7.37364658915344,11.6095117546256,4.63048064407296,1.69550949365586,0.802525974667713,0.468017890162707,1.20481898553904,0.424657075519057,0.285732461837628,0.181071786647352,0.0414883195784605,0.543271621562879,0,0,0,0,0.145135005230432,0,0.145135005230432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219886581249633,0,0,0
2005,"Enter Month","Enter Fleet",3,0,643,0.0220918771805092,9.69762327108952,3.94152126601807,11.7501989353517,7.30573038932929,12.0697252347804,4.20685739209394,1.46690064478581,0.256689592273049,0.0493262895173876,0.475616090562013,0.352238629649535,0.348984916620684,0.0296705256815569,0.154970180137233,0.117053577641018,0,0,0,0.0907135192443777,0.117330560391166,0.254193410380145,0,0.0474675016639822,0,0,0,0,0,0,0,0,0.0936468666826961,0,0,0,0,0,0,0,0,0.401711753395917,7.71366924889119,6.18645978168754,9.8738777401478,6.84676997233343,8.24184365057925,4.29500131233092,0.507001907009549,0.274393128291569,0.574565675196345,0.391997334291315,0.451602019838306,0.0881973145020659,0.0520961170188714,0,0.300189232612616,0.117053577641018,0,0.129157390108345,0,0,0.117053577641018,0.0503875005360284,0,0.205033977941161,0.0841326760721777,0,0.0936468666826961,0,0,0,0,0,0,0.115281555468382,0,0,0,0,0.0403260187083493,0
2006,"Enter Month","Enter Fleet",3,0,493,0.0325382886500687,0.384705289623538,3.71755512393753,3.44606197468172,6.42156357812192,6.55692269403016,8.13140242043813,5.73357703662421,1.79383082455873,1.13125992631112,0.287679855555389,0.247178053645638,0.430973631414395,0.388905507020855,6.1331829993501,0,0.296554308996433,0.771467407982367,0,0.0450729904216495,0.259222249165717,0,0.047191647676037,0,0.164867807122555,0,0,0,0,0,0,0,0,0,0.0607320933582609,0.0342447557771435,0,0,0,0,0,0.124551490770094,0.251188663584391,5.00451574893977,7.56589405337013,10.5299615026787,6.37120631026812,12.3055652798076,3.65234664579666,1.46806460123965,0.758631807417848,0.767980279505301,2.03587298921805,0.346404582993637,0.493733700199034,0,0.307427884554943,0.113282212689364,0.0478964927937418,0,0.352315389419302,0.163363313157863,0.193234731684218,0,0,0.0545739728562084,0,0.151966256137666,0.250252991995391,0,0.125182141664883,0,0,0,0,0,0,0,0,0,0.0478964927937418,0
2007,"Enter Month","Enter Fleet",3,0,551,0.119242465443914,2.55901615242918,0.550973034353675,8.8063395312178,4.80562654678697,5.39425676345481,9.0201968549,8.73049308865603,5.75686154084322,3.28095722847192,1.45046344938143,0.534250585016521,0.767579427358725,0.945926883243922,0.402542293703092,0.452785652847906,0,0,0,0,0,0.108942956874893,0,0,0.101468528762074,0,0.178195433618495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751370053171688,0,1.1509479126741,0.654316504405067,8.32019132509005,2.45614141770012,5.77514855267518,5.33328950024643,11.1135751386839,3.9127364318385,1.93914535995421,1.10414405731341,0.261212259759687,1.62437692248784,0.4940913695629,0.0534865008344439,0.10205128078443,0.384299621698924,0.15815383145836,0.0633616139089226,0,0,0.0837959402580363,0,0,0,0.303284422069301,0,0.11935648214394,0.198154690384167,0,0.0936203792436145,0,0,0,0,0.259863062142712,0,0,0,0,0
2008,"Enter Month","Enter Fleet",3,0,527,15.0005848001311,0.900366192236704,5.06589470119601,0.382496326243513,2.05022827294867,1.92625566758592,4.75636812185741,5.65358273421402,7.38366197133582,4.40461539456368,0.708666009689915,0.838709487052751,0.606434283061721,0.336164335177677,0.437749422906172,0.125140322210747,0.0738298394219827,0.243261787238349,0,0.073019971285466,1.55030106691024,0,0,0.073019971285466,0,0.050827073125882,0.145776264572996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0501248735052,0.223278761823369,3.27278386647246,1.16431414621786,1.4266611980687,1.0114185757006,4.15095716054958,7.65255074875448,5.8365062062581,3.34066839484575,0.569299631685783,1.76495379137257,0.125140322210747,0.109872110520758,0.373487327980712,0.029902340575417,0.10251423876884,0.050827073125882,0.0679598649441295,0.248560459387342,0.165257046182385,0,0.0556800038974119,0.0556800038974119,0,0,0,0,0.186665188395732,0,0,0,0,0,0,0,0.177982648606565,0,0,0,0
2009,"Enter Month","Enter Fleet",3,0,573,0.884088925540322,46.7159825447548,0.653763529533038,0.458146582826513,0.372593890664193,0.928542074700203,0.734717383087654,0.659747792323815,0.857734254200598,1.05883242277428,0.800852145826891,0.289432704532179,0.0581465828265127,0.0692794557262138,0.143534343538467,0.0457107514689207,0.08177576194894,0,0.0844009208672645,0,0,0.0899811016046456,0,0,0,0.0868501529051988,0,0.0491688142115933,0,0,0,0,0,0,0,0,0,0,0,0,0.043107583410645,1.45231075834106,30.6830127478267,0.849089097343916,0.383512352678418,0.245978765075765,1.32022128302924,1.0009222416933,1.03514276878672,1.12225956087001,2.57843658729341,1.57788269250593,0.452371233206199,0.498417345290864,0.0237143937051163,0.669946053671443,0.178502559873553,0.044303336425798,0,0.0268508401195753,0.0588942720681717,0,0.121889839535443,0,0.0553702367453527,0,0,0,0.0277497165240697,0,0.0254654159365014,0.100036422361956,0.0705796653265986,0.0277497165240697,0,0,0,0,0,0.0635205992509363,0,0.139479778716971
2010,"Enter Month","Enter Fleet",3,0,622,8.42997087833347,0.692851508713568,34.4968388909585,1.24170626174418,0.369017044836538,0.105143631107856,0.70801623703561,0.30232080392016,0.448579934526156,0.449209634289528,0.875873420350267,0.187189615225205,0.0825718158785157,0.117094943111657,0.0356883963828877,0,0,0.0591463355060464,0.0650538281314994,0.0752004335969752,0,0,0,0,0.176410064121288,0.0363959971479145,0,0.0363959971479145,0,0,0,0,0,0,0,0,0.0355098732540965,0,0,0,0,8.47970742201469,0.552308364103958,33.1111001689056,4.00091105221435,0.224202328636217,0.168775765959164,0.344387344813496,0.204649177220981,0.382344607869566,0.699271849599912,0.890557759162107,0.686752509459048,0.277175009761158,0.0835877747750909,0,0.0289986478658225,0.269112256089935,0,0.0725323242903146,0.0725323242903146,0.0595325946392491,0.0595325946392491,0,0,0,0,0.0396386263417758,0,0,0.0591463355060464,0,0.0887649455100346,0,0,0,0,0,0,0,0,0.118292671012093
2011,"Enter Month","Enter Fleet",3,0,578,0.954746281586115,18.7369396064369,1.48622555045634,20.1953696780407,1.09577269088054,0.169026291106308,0.764327475875715,0.472971829915334,1.20714737656114,0.686046127865119,0.440878903477499,0.414396256640645,0.0824325560802785,0.456041282351712,0.0427783819574738,0,0,0,0.315505107797302,0,0,0,0,0,0,0.157496634746236,0,0,0,0.0254024685961442,0,0,0,0,0,0,0,0,0,0,0,4.86214316602635,19.3421086348884,2.87909046466177,19.5291190627961,0.972047413376934,0.141616352795121,0.544602603588512,0.251927478361786,1.06035946271203,0.477302513754242,1.34670972888623,0.43578710943206,0,0.239613446417692,0.10237763184182,0.0431439807466371,0,0,0,0,0.0431439807466371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254024685961442
2012,"Enter Month","Enter Fleet",3,0,607,1.67516568281755,5.36327012647438,15.5270856368603,8.60117908302113,13.0746326864064,3.6917589232157,0.769347247178546,0.14726767969263,1.97714856769944,0.095413803448433,0,0.906431132760114,1.40662237105772,0.880190333442461,0.894284036702394,0.0881248780240234,0.251409495536577,0,0.149591588119285,0,0,0,0,0.0318101660642925,0,0,0,0,0,0,0,0,0,0.0279436632509776,0,0,0,0,0,0,0.123895037470519,1.02981364157619,4.44298569477433,17.2761038606763,5.65776207952408,6.14201317582621,1.78797374050257,1.15176374131894,0.252234215912128,1.37379716453121,0.226076890316698,1.12020065747243,0.229222180170016,1.20177117882759,0.253245917425457,0.560232217217323,0.100505700503964,0.177658792479151,0.305627347594095,0,0.0304245022754102,0.0303009611665219,0,0.149591588119285,0,0,0,0,0.0582513023152772,0,0.344486034762799,0,0,0,0,0,0,0,0.305627347594095,0,0,0.109757927875031
