"Year","Season","Fleet","Value","seLogB"
"2003",NA,NA,95201622.5397301,0.264558511658739
"2004",NA,NA,69354703.4196109,0.277057997521316
"2005",NA,NA,42944878.4383688,0.096327151427267
"2006",NA,NA,46425560.5437474,0.248770423386583
"2007",NA,NA,33143980.949928,0.103077711781569
"2008",NA,NA,23549024.4804535,0.0869399409504669
"2009",NA,NA,27084035.6783188,0.153147928169027
"2010",NA,NA,26105328.2916056,0.161423553042293
"2011",NA,NA,30249674.629201,0.0884054358258984
"2012",NA,NA,32108308.3650117,0.0957547877756449
"2013",NA,NA,29446909.4849041,0.0899213414111737
"2014",NA,NA,46052574.8277578,0.181807206118456
"2015",NA,NA,37252261.7011045,0.159699322467666
"2016",NA,NA,42521869.2360553,0.167661664321335
"2017",NA,NA,61025408.5512425,0.210390650103348
