"cohort","ind","fish_size","Year","Age","AgeE","dtype","FMORT","M","Sel","FSIM","REG"
30,13,302.911141627403,40,11,11.5002652184234,"FISHED",0.331250342951941,0.25,0.999999866615405,"MED MED","R2"
34,5,330.03947976284,45,12,12.4991898189184,"FISHED",0.334944309480342,0.25,0.999999991510483,"MED MED","R2"
35,7,313.853095026945,40,6,6.50018212899094,"FISHED",0.331250342951941,0.25,0.999999956084199,"MED MED","R2"
37,10,281.63039979996,40,4,4.49840600816706,"FISHED",0.331250342951941,0.25,0.999998842613231,"MED MED","R2"
38,12,363.166496556155,44,7,7.49976269573791,"FISHED",0.33077241805661,0.25,0.999999999706134,"MED MED","R2"
39,5,225.96942448593,40,2,2.50168344956134,"FISHED",0.331250342951941,0.25,0.999670614889612,"MED MED","R2"
39,6,338.829601443899,44,6,6.49934606359454,"FISHED",0.33077241805661,0.25,0.999999996522373,"MED MED","R2"
39,8,227.521174947652,40,2,2.50044416386085,"FISHED",0.331250342951941,0.25,0.999718615316312,"MED MED","R2"
39,10,308.968938332629,42,4,4.50206703512313,"FISHED",0.338110053513122,0.25,0.999999927891336,"MED MED","R2"
39,12,263.851734236899,41,3,3.49979749478584,"FISHED",0.276770666818875,0.25,0.999992962387348,"MED MED","R2"
40,3,339.85143848223,46,7,7.49959084775302,"FISHED",0.336913803711023,0.25,0.99999999686509,"MED MED","R2"
40,8,339.837727946958,45,6,6.49905151658778,"FISHED",0.334944309480342,0.25,0.999999996860723,"MED MED","R2"
40,9,155.966497192607,40,1,1.49807842032114,"FISHED",0.331250342951941,0.25,0.713079918729592,"MED MED","R2"
40,10,265.724030487565,42,3,3.4994961170247,"FISHED",0.338110053513122,0.25,0.999994180749186,"MED MED","R2"
41,4,287.669338975609,44,4,4.49871852446197,"FISHED",0.33077241805661,0.25,0.999999373109033,"MED MED","R2"
41,5,236.455045808453,42,2,2.50112418380859,"FISHED",0.338110053513122,0.25,0.9998863852478,"MED MED","R2"
41,6,279.864845163062,43,3,3.50005101888976,"FISHED",0.376128980488397,0.25,0.999998615380445,"MED MED","R2"
41,7,154.152675266544,41,1,1.50062395738076,"FISHED",0.276770666818875,0.25,0.67397701723408,"MED MED","R2"
41,8,276.173153511409,43,3,3.50116958660199,"FISHED",0.376128980488397,0.25,0.999997985741742,"MED MED","R2"
41,10,158.072716166881,41,1,1.50047204860508,"FISHED",0.276770666818875,0.25,0.754774199441398,"MED MED","R2"
41,11,153.69660692335,41,1,1.49940253509069,"FISHED",0.276770666818875,0.25,0.663721384235393,"MED MED","R2"
41,12,336.437676602185,44,4,4.50069967708814,"FISHED",0.33077241805661,0.25,0.999999995566418,"MED MED","R2"
42,3,333.562898656093,46,5,5.4997721977843,"FISHED",0.336913803711023,0.25,0.999999994063671,"MED MED","R2"
42,9,239.756626921545,43,2,2.49969120187483,"FISHED",0.376128980488397,0.25,0.9999187420766,"MED MED","R2"
42,12,277.329680337173,44,3,3.50266614312253,"FISHED",0.33077241805661,0.25,0.999998208906511,"MED MED","R2"
43,1,216.707657447368,44,2,2.50100798091458,"FISHED",0.33077241805661,0.25,0.999156902307534,"MED MED","R2"
43,4,159.185962356024,43,1,1.49962163028961,"FISHED",0.376128980488397,0.25,0.775088416070947,"MED MED","R2"
43,5,232.225858757448,44,2,2.49834842005798,"FISHED",0.33077241805661,0.25,0.999825460365805,"MED MED","R2"
43,6,149.515800722412,43,1,1.50051254352769,"FISHED",0.376128980488397,0.25,0.5635138413453,"MED MED","R2"
43,8,234.805369099447,44,2,2.50058563715935,"FISHED",0.33077241805661,0.25,0.999865671506696,"MED MED","R2"
