"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
1,1,1,59.694691264954,0,0,0.500946205349064,0,0.25,0.000141323779248838,"HIGH MED"
1,1,1,91.5551910621542,1,1,1.50064324511387,0,0.25,0.00357772743495093,"HIGH MED"
1,1,1,114.994351329073,2,2,2.4998718658103,0,0.25,0.0373409169884762,"HIGH MED"
1,1,1,132.238093188595,3,3,3.50058362868413,0,0.25,0.182602849614807,"HIGH MED"
1,1,1,144.923984232973,4,4,4.50005052274177,0,0.25,0.447498535540212,"HIGH MED"
1,1,1,154.256751616113,5,5,5.49817427576612,0,0.25,0.676294669050541,"HIGH MED"
1,1,1,161.122690060886,6,6,6.49871778364734,0,0.25,0.807509856904738,"HIGH MED"
1,1,1,166.17382964169,7,7,7.50089558953317,0,0.25,0.875093418005653,"HIGH MED"
1,1,1,169.8898564121,8,8,8.5013071723706,0,0.25,0.910850298984784,"HIGH MED"
1,1,1,172.623666226202,9,9,9.50118885220664,0,0.25,0.930966524447501,"HIGH MED"
1,1,1,174.634877813588,10,10,10.500462774089,0,0.25,0.942990316614188,"HIGH MED"
1,2,2,61.1735489036254,0,0,0.500368908880454,0,0.25,0.000164215994769629,"HIGH MED"
1,3,3,62.3320722089974,0,0,0.5010260363717,0,0.25,0.00018471049940866,"HIGH MED"
1,4,4,64.24793278926,0,0,0.498932494084896,0,0.25,0.000224364497643265,"HIGH MED"
1,4,4,102.143842838563,1,1,1.49866947082644,0,0.25,0.0104117669010179,"HIGH MED"
1,5,5,60.5890845705618,0,0,0.498925639309262,0,0.25,0.000154756050613424,"HIGH MED"
1,5,5,93.5947902428174,1,1,1.50274291680852,0,0.25,0.00439729820663305,"HIGH MED"
1,6,6,63.0313114987455,0,0,0.500752122844645,0,0.25,0.00019829812287598,"HIGH MED"
1,6,6,99.2645380275354,1,1,1.4991091067047,0,0.25,0.00779308399423422,"HIGH MED"
1,6,6,127.410565462794,2,2,2.49967796909855,0,0.25,0.120366733425939,"HIGH MED"
1,6,6,149.274443904777,3,3,3.50174890220976,0,0.25,0.557477220360676,"HIGH MED"
1,6,6,166.258339114338,4,4,4.5009086894723,0,0.25,0.876028288641186,"HIGH MED"
1,6,6,179.451455662929,5,5,5.49957360183252,0,0.25,0.964252521684124,"HIGH MED"
1,6,6,189.699889377165,6,6,6.50063070259108,0,0.25,0.98707294236574,"HIGH MED"
1,6,6,197.66088882777,7,7,7.50142419982555,0,0.25,0.994197924134191,"HIGH MED"
1,6,6,203.845005739653,8,8,8.5005210808962,0,0.25,0.996894928529624,"HIGH MED"
1,6,6,208.64883749685,9,9,9.5000562668958,0,0.25,0.99809116804253,"HIGH MED"
1,6,6,212.380461571924,10,10,10.5003588955601,0,0.25,0.998692374338193,"HIGH MED"
1,6,6,215.279193030786,11,11,11.5003705941686,0,0.25,0.999025439455821,"HIGH MED"
1,7,7,63.9508131223603,0,0,0.499412780901836,0,0.25,0.000217698559625494,"HIGH MED"
1,8,8,60.0232850079811,0,0,0.501197839334249,0,0.25,0.000146117585024943,"HIGH MED"
1,9,9,62.8418668493385,0,0,0.500093468078238,0,0.25,0.00019452108849303,"HIGH MED"
1,9,9,98.8194734913654,1,1,1.50089552656047,0,0.25,0.00745133037689361,"HIGH MED"
1,9,9,126.682937107938,2,2,2.50030548003518,0,0.25,0.112761413946647,"HIGH MED"
1,9,9,148.262265950929,3,3,3.50122059286934,0,0.25,0.531996432418629,"HIGH MED"
1,9,9,164.974740743078,4,4,4.49927041197861,0,0.25,0.861167180301492,"HIGH MED"
1,9,9,177.917998418534,5,5,5.5001615671498,0,0.25,0.958480177620001,"HIGH MED"
1,9,9,187.942122393993,6,6,6.50094844001659,0,0.25,0.98458609121556,"HIGH MED"
1,9,9,195.705474093768,7,7,7.50017043819043,0,0.25,0.992932687786263,"HIGH MED"
1,9,9,201.717932615027,8,8,8.50124298703457,0,0.25,0.996149298672953,"HIGH MED"
1,9,9,206.37438241504,9,9,9.50040592788823,0,0.25,0.997596498552828,"HIGH MED"
1,10,10,61.7564644581677,0,0,0.499627087650258,0,0.25,0.000174226711873438,"HIGH MED"
1,11,11,64.2782785625718,0,0,0.498731870241779,0,0.25,0.000225056692510671,"HIGH MED"
1,12,12,63.9143272833242,0,0,0.499748002926341,0,0.25,0.000216893763131774,"HIGH MED"
1,12,12,101.350688241183,1,1,1.50031117468163,0,0.25,0.00961391614100995,"HIGH MED"
1,13,13,61.0318832916369,0,0,0.499877984205985,0,0.25,0.000161871255661222,"HIGH MED"
1,13,13,94.6118578286011,1,1,1.5023243851929,0,0.25,0.00487332936593934,"HIGH MED"
1,13,13,119.869388423056,2,2,2.50121446278941,0,0.25,0.0598253863149981,"HIGH MED"
1,13,13,138.867105381645,3,3,3.50070829660523,0,0.25,0.304544007242205,"HIGH MED"
1,14,14,61.3599601668442,0,0,0.500774401193783,0,0.25,0.000167353148917949,"HIGH MED"
2,15,1,64.0482740450766,1,0,0.499738173190022,0,0.25,0.000219863000258444,"HIGH MED"
2,15,1,101.668820091197,2,1,1.49812952124829,0,0.25,0.00992638907848828,"HIGH MED"
2,15,1,131.364021803565,3,2,2.49831894125635,0,0.25,0.169727738503948,"HIGH MED"
2,15,1,154.803474374435,4,3,3.49843388976573,0,0.25,0.688326111848216,"HIGH MED"
2,16,2,63.7803779067842,1,0,0.499572570294381,0,0.25,0.000213964560007002,"HIGH MED"
2,16,2,101.032992423822,2,1,1.4998878613873,0,0.25,0.00931159542735344,"HIGH MED"
