"","Predicted","Year","Length_cm","Age","Sex","Latitude_dd","Longitude_dd","REG"
"1",57.7247319766958,2003,47,4,"F",34.2175,-120.32055556,"South_Early"
"2",53.3767525098237,2003,49,3,"F",46.15666667,-124.51555556,"South_Early"
"3",53.3767525098237,2003,51,3,"F",46.15666667,-124.51555556,"South_Early"
"4",53.3767525098237,2003,51,3,"F",46.15666667,-124.51555556,"South_Early"
"5",53.3767525098237,2003,54,3,"F",46.15666667,-124.51555556,"South_Early"
"6",53.3767525098237,2003,50,3,"F",46.15666667,-124.51555556,"South_Early"
"7",53.3767525098237,2003,52,3,"F",46.15666667,-124.51555556,"South_Early"
"8",49.7849895369412,2003,48,3,"M",46.15666667,-124.51555556,"South_Early"
"9",45.2105462434772,2003,46,2,"M",46.15666667,-124.51555556,"South_Early"
"10",49.7849895369412,2003,48,3,"M",46.15666667,-124.51555556,"South_Early"
"11",49.7849895369412,2003,48,3,"M",46.15666667,-124.51555556,"South_Early"
"12",54.2372189346645,2003,54,5,"M",40.92416667,-124.39666667,"South_Early"
"13",52.5572000491237,2003,50,4,"M",40.92416667,-124.39666667,"South_Early"
"14",52.5572000491237,2003,55,4,"M",40.92416667,-124.39666667,"South_Early"
"15",47.0954140309608,2003,48,2,"F",42.78,-124.71916667,"South_Early"
"16",53.3767525098237,2003,49,3,"F",42.78,-124.71916667,"South_Early"
"17",53.3767525098237,2003,49,3,"F",42.78,-124.71916667,"South_Early"
"18",52.5572000491237,2003,43,4,"M",39.16027778,-124.00972222,"South_Early"
"19",60.7344289557644,2003,48,5,"F",39.16027778,-124.00972222,"South_Early"
"20",53.3767525098237,2003,51,3,"F",39.16027778,-124.00972222,"South_Early"
"21",60.7344289557644,2003,58,5,"F",41.13777778,-124.38305556,"South_Early"
"22",49.7849895369412,2003,49,3,"M",41.13777778,-124.38305556,"South_Early"
"23",54.2372189346645,2003,59,5,"M",39.67027778,-123.99583333,"South_Early"
"24",57.7247319766958,2003,64,4,"F",39.67027778,-123.99583333,"South_Early"
"25",66.427353869217,2003,76,10,"F",42.42527778,-124.74861111,"South_Early"
"26",66.427353869217,2003,85,10,"F",42.42527778,-124.74861111,"South_Early"
"27",64.2598521831274,2003,68,7,"F",42.42527778,-124.74861111,"South_Early"
"28",60.7344289557644,2003,69,5,"F",42.42527778,-124.74861111,"South_Early"
"29",53.3767525098237,2003,58,3,"F",46.93972222,-124.83166667,"South_Early"
"30",65.9490551568308,2003,60,9,"F",46.93972222,-124.83166667,"South_Early"
"31",53.3767525098237,2003,52,3,"F",46.93972222,-124.83166667,"South_Early"
"32",56.4728759192467,2003,66,9,"M",46.93972222,-124.83166667,"South_Early"
"33",49.7849895369412,2003,50,3,"M",46.93972222,-124.83166667,"South_Early"
"34",49.7849895369412,2003,50,3,"M",46.93972222,-124.83166667,"South_Early"
"35",56.246272742076,2003,53,8,"M",43.25305556,-124.79444444,"South_Early"
"36",56.8200275482644,2003,62,20,"M",43.25305556,-124.79444444,"South_Early"
"37",57.7247319766958,2003,54,4,"F",43.25305556,-124.79444444,"South_Early"
"38",53.3767525098237,2003,52,3,"F",47.64055556,-124.94277778,"South_Early"
"39",53.3767525098237,2003,58,3,"F",47.64055556,-124.94277778,"South_Early"
"40",65.2580776282125,2003,77,8,"F",47.64055556,-124.94277778,"South_Early"
"41",57.7247319766958,2003,56,4,"F",47.64055556,-124.94277778,"South_Early"
"42",53.3767525098237,2003,57,3,"F",47.64055556,-124.94277778,"South_Early"
"43",53.3767525098237,2003,60,3,"F",47.64055556,-124.94277778,"South_Early"
"44",57.7247319766958,2003,62,4,"F",47.64055556,-124.94277778,"South_Early"
"45",53.3767525098237,2003,50,3,"F",47.64055556,-124.94277778,"South_Early"
"46",49.7849895369412,2003,53,3,"M",47.64055556,-124.94277778,"South_Early"
"47",52.5572000491237,2003,50,4,"M",47.64055556,-124.94277778,"South_Early"
"48",38.0210351414882,2003,41,1,"F",38.00722222,-123.19583333,"South_Early"
"49",38.0210351414882,2003,40,1,"F",38.00722222,-123.19583333,"South_Early"
"50",38.0210351414882,2003,37,1,"F",38.00722222,-123.19583333,"South_Early"
"51",38.0210351414882,2003,37,1,"F",38.00722222,-123.19583333,"South_Early"
"52",37.6622264628689,2003,37,1,"M",38.00722222,-123.19583333,"South_Early"
"53",37.6622264628689,2003,38,1,"M",38.00722222,-123.19583333,"South_Early"
"54",37.6622264628689,2003,35,1,"M",38.00722222,-123.19583333,"South_Early"
"55",37.6622264628689,2003,39,1,"M",38.00722222,-123.19583333,"South_Early"
"56",37.6622264628689,2003,40,1,"M",38.00722222,-123.19583333,"South_Early"
"57",52.5572000491237,2003,43,4,"M",38.00722222,-123.19583333,"South_Early"
"58",53.3767525098237,2003,52,3,"F",41.76638889,-124.51583333,"South_Early"
"59",57.7247319766958,2003,51,4,"F",41.76638889,-124.51583333,"South_Early"
"60",52.5572000491237,2003,52,4,"M",41.76638889,-124.51583333,"South_Early"
"61",55.2553463255573,2003,47,6,"M",41.76638889,-124.51583333,"South_Early"
"62",37.6622264628689,2003,39,1,"M",39.00861111,-123.92305556,"South_Early"
"63",49.7849895369412,2003,46,3,"M",39.00861111,-123.92305556,"South_Early"
"64",53.3767525098237,2003,45,3,"F",39.00861111,-123.92305556,"South_Early"
"65",25.2066930011836,2003,25,0,"M",34.96555556,-120.77333333,"South_Early"
"66",25.2066930011836,2003,23,0,"M",34.96555556,-120.77333333,"South_Early"
"67",25.2066930011836,2003,23,0,"M",34.96555556,-120.77333333,"South_Early"
"68",25.2066930011836,2003,22,0,"M",34.96555556,-120.77333333,"South_Early"
"69",25.2066930011836,2003,21,0,"M",34.96555556,-120.77333333,"South_Early"
