"names.rep.value.","rep.value","model","sex","strata"
"t0",0.0205987443438142,"uniform","M","deep_n"
"t0",0.0290568646142354,"uniform","F","deep_n"
"t0",0.0199000851416346,"uniform","M","mid_n"
"t0",0.0295078367841187,"uniform","F","mid_n"
"t0",0.060864049624168,"uniform","M","shallow_n"
"t0",0.0658304851574139,"uniform","F","shallow_n"
"t0",0.0163978786043854,"uniform","M","deep_s"
"t0",0.0141892132059698,"uniform","F","deep_s"
"t0",0.0166476064733537,"uniform","M","mid_s"
"t0",0.0183913085451616,"uniform","F","mid_s"
"t0",0.0140073584182232,"uniform","M","shallow_s"
"t0",0.013757592084537,"uniform","F","shallow_s"
"t0",0.0138259548133676,"uniform","M","AK 0"
"t0",0.011278340572515,"uniform","F","AK 0"
"t0",0.0118284678108396,"uniform","M","AK 1"
"t0",0.0202967152507416,"uniform","F","AK 1"
"t0",0.0287426661947261,"uniform","M","AK 2"
"t0",0.0197914549160923,"uniform","F","AK 2"
"t0",0.0307895867361633,"uniform","M","AK 3"
"t0",0.0617209634768714,"uniform","F","AK 3"
"t0",0.0606469733160538,"uniform","M","AK 4"
"t0",0.0159716097770614,"uniform","F","AK 4"
"t0",0.0151839019605853,"uniform","M","AK 5"
"t0",0.0183138803351514,"uniform","F","AK 5"
"t0",0.0211145107158992,"uniform","M","AK 6"
"t0",0.0151922582991303,"uniform","F","AK 6"
"t0",0.0153501676154736,"uniform","M","AK 7"
"t0",0.0152831788468575,"uniform","F","AK 7"
"t0",0.0118123891293576,"uniform","M","AK 8"
"t0",0.0121311761809047,"uniform","F","AK 8"
"Linf",47.8425375129224,"corrected","M","deep_n"
"Linf",47.1098909070625,"corrected","F","deep_n"
"Linf",58.9792330691114,"corrected","M","mid_n"
"Linf",60.9904133960621,"corrected","F","mid_n"
"Linf",49.5368499096206,"corrected","M","shallow_n"
"Linf",55.5938077501953,"corrected","F","shallow_n"
"Linf",50.8694008921459,"corrected","M","deep_s"
"Linf",55.9751817368601,"corrected","F","deep_s"
"Linf",52.5833563830697,"corrected","M","mid_s"
"Linf",43.6724490518026,"corrected","F","mid_s"
"Linf",47.8029563377556,"corrected","M","shallow_s"
"Linf",44.2078341588372,"corrected","F","shallow_s"
"Linf",45.6517299773294,"corrected","M","AK 0"
"Linf",59.2604017387633,"corrected","F","AK 0"
"Linf",63.4579435593211,"corrected","M","AK 1"
"Linf",51.2461838557487,"corrected","F","AK 1"
"Linf",48.5036652582925,"corrected","M","AK 2"
"Linf",58.8902200965174,"corrected","F","AK 2"
"Linf",60.0929617924563,"corrected","M","AK 3"
"Linf",50.4122239680044,"corrected","F","AK 3"
"Linf",57.5575093459459,"corrected","M","AK 4"
"Linf",50.9381588888827,"corrected","F","AK 4"
"Linf",55.5418289121936,"corrected","M","AK 5"
"Linf",51.3476920957886,"corrected","F","AK 5"
"Linf",43.5746159118913,"corrected","M","AK 6"
"Linf",48.1581909813146,"corrected","F","AK 6"
"Linf",44.4710517751714,"corrected","M","AK 7"
"Linf",45.6097452190448,"corrected","F","AK 7"
"Linf",61.6030014358426,"corrected","M","AK 8"
"Linf",64.1079899563983,"corrected","F","AK 8"
"k",1.01005016708417,"corrected","M","deep_n"
"k",1.01005016708417,"corrected","F","deep_n"
"k",1.01005016708417,"corrected","M","mid_n"
"k",1.01005016708417,"corrected","F","mid_n"
"k",1.01005016708417,"corrected","M","shallow_n"
"k",1.01005016708417,"corrected","F","shallow_n"
"k",1.01005016708417,"corrected","M","deep_s"
"k",1.01005016708417,"corrected","F","deep_s"
"k",1.01005016708417,"corrected","M","mid_s"
"k",1.01005016708417,"corrected","F","mid_s"
"k",1.01005016708417,"corrected","M","shallow_s"
"k",1.01005016708417,"corrected","F","shallow_s"
"k",1.01005016708417,"corrected","M","AK 0"
"k",1.01005016708417,"corrected","F","AK 0"
"k",1.01005016708417,"corrected","M","AK 1"
"k",1.01005016708417,"corrected","F","AK 1"
"k",1.01005016708417,"corrected","M","AK 2"
"k",1.01005016708417,"corrected","F","AK 2"
"k",1.01005016708417,"corrected","M","AK 3"
"k",1.01005016708417,"corrected","F","AK 3"
"k",1.01005016708417,"corrected","M","AK 4"
"k",1.01005016708417,"corrected","F","AK 4"
"k",1.01005016708417,"corrected","M","AK 5"
"k",1.01005016708417,"corrected","F","AK 5"
"k",1.01005016708417,"corrected","M","AK 6"
"k",1.01005016708417,"corrected","F","AK 6"
"k",1.01005016708417,"corrected","M","AK 7"
"k",1.01005016708417,"corrected","F","AK 7"
"k",1.01005016708417,"corrected","M","AK 8"
"k",1.01005016708417,"corrected","F","AK 8"
"t0",0.0205987443438142,"corrected","M","deep_n"
"t0",0.0290568646142354,"corrected","F","deep_n"
"t0",0.0199000851416346,"corrected","M","mid_n"
"t0",0.0295078367841187,"corrected","F","mid_n"
"t0",0.060864049624168,"corrected","M","shallow_n"
"t0",0.0658304851574139,"corrected","F","shallow_n"
"t0",0.0163978786043854,"corrected","M","deep_s"
"t0",0.0141892132059698,"corrected","F","deep_s"
"t0",0.0166476064733537,"corrected","M","mid_s"
"t0",0.0183913085451616,"corrected","F","mid_s"
"t0",0.0140073584182232,"corrected","M","shallow_s"
"t0",0.013757592084537,"corrected","F","shallow_s"
"t0",0.0138259548133676,"corrected","M","AK 0"
"t0",0.011278340572515,"corrected","F","AK 0"
"t0",0.0118284678108396,"corrected","M","AK 1"
"t0",0.0202967152507416,"corrected","F","AK 1"
"t0",0.0287426661947261,"corrected","M","AK 2"
"t0",0.0197914549160923,"corrected","F","AK 2"
"t0",0.0307895867361633,"corrected","M","AK 3"
"t0",0.0617209634768714,"corrected","F","AK 3"
"t0",0.0606469733160538,"corrected","M","AK 4"
"t0",0.0159716097770614,"corrected","F","AK 4"
"t0",0.0151839019605853,"corrected","M","AK 5"
"t0",0.0183138803351514,"corrected","F","AK 5"
"t0",0.0211145107158992,"corrected","M","AK 6"
"t0",0.0151922582991303,"corrected","F","AK 6"
"t0",0.0153501676154736,"corrected","M","AK 7"
"t0",0.0152831788468575,"corrected","F","AK 7"
"t0",0.0118123891293576,"corrected","M","AK 8"
"t0",0.0121311761809047,"corrected","F","AK 8"
