"","Predicted","Year","Length_cm","Age","Sex","Latitude_dd","Longitude_dd","REG"
"24403",56.4178581171922,1985,48,4,"M",56.01667,-154.5167,"North_Early"
"24404",62.981615321699,2010,62,12,"M",57.97166667,-149.1691667,"North_Late"
"24405",59.2987946182774,2008,59,4,"F",53.195,-166.861,"North_Late"
"24406",73.0497609497181,1989,66,11,"F",53.21667,-169.2383,"North_Early"
"24407",58.5154230883658,2017,65,6,"M",57.39667,-150.5748,"North_Late"
"24408",60.1720484321947,1998,68,6,"M",55.56,-134.967,"North_Early"
"24409",71.1493236763679,1987,53,9,"F",53.97834,-163.2367,"North_Early"
"24410",64.4226803866006,2006,65,35,"M",57.11833333,-151.2236667,"North_Late"
"24411",63.5014997041254,1996,65,5,"F",53.96833,-163.26217,"North_Early"
"24412",59.751894499999,2015,63,7,"M",57.18667,-136.237,"North_Late"
"24413",52.4763509918782,2017,55,3,"M",56.25167,-169.1642,"North_Late"
"24414",63.2615039675529,1998,72,10,"M",55.767,-155.134,"North_Early"
"24415",64.0748875106713,2016,64,18,"M",56.03833,-154.5688,"North_Late"
"24416",66.0972200255199,1997,71,6,"F",54.50833,-159.2565,"North_Early"
"24417",60.1720484321947,1989,66,6,"M",53.17834,-166.8167,"North_Early"
"24418",62.8059631631779,1989,62,9,"M",56.155,-170.6567,"North_Early"
"24419",63.5949604203838,2002,64,11,"M",55.55666667,-134.9658333,"North_Early"
"24420",75.035754948846,1999,91,15,"F",56.04167,-154.565,"North_Early"
"24421",63.5014997041254,1989,64,5,"F",54.08,-162.05,"North_Early"
"24422",60.2517402012871,1985,54,4,"F",56.01667,-154.5167,"North_Early"
"24423",75.5292622568451,1999,86,17,"F",55.96667,-135.445,"North_Early"
"24424",56.9520873188476,2017,57,5,"M",53.77333,-167.3313,"North_Late"
"24425",56.1831443902351,1993,54,3,"F",60.10167,-178.855,"North_Early"
"24426",64.1947367585421,2006,61,6,"F",53.73166667,-164.4661667,"North_Late"
"24427",64.1947367585421,2005,59,6,"F",55.80833,-168.9295,"North_Late"
"24428",71.1493236763679,1989,58,9,"F",54.12,-166.3983,"North_Early"
"24429",63.5014997041254,1993,57,5,"F",56.62667,-172.3467,"North_Early"
"24430",56.0807968840376,2017,51,3,"F",53.19333,-166.85,"North_Late"
"24431",60.1720484321947,1996,66,6,"M",52.25167,-174.84333,"North_Early"
"24432",66.0972200255199,1985,68,6,"F",58.61167,-176.6833,"North_Early"
"24433",64.4655216533594,1985,68,21,"M",53.77333,-167.3717,"North_Early"
"24434",74.2622194683478,1998,84,13,"F",55.983,-135.447,"North_Early"
"24435",61.503320339004,2013,61,9,"M",55.34833,-134.7353,"North_Late"
"24436",69.8265732158384,1993,83,8,"F",53.59,-168.26,"North_Early"
"24437",73.7238200023865,1997,79,12,"F",57.11167,-151.22583,"North_Early"
"24438",75.3101173813775,1998,85,16,"F",51.918,-173.499,"North_Early"
"24439",68.1705315985811,2004,59,7,"F",51.77666667,-178.9628333,"North_Early"
"24440",60.2517402012871,2004,57,4,"F",55.24333333,-156.6401667,"North_Early"
"24441",43.8852199067422,1993,62,1,"M",56.62667,-172.3467,"North_Early"
"24442",61.9727863031823,2014,59,5,"F",54.85,-157.7412,"North_Late"
"24443",63.5949604203838,1989,58,11,"M",51.77166,-175.1833,"North_Early"
"24444",72.2058603977873,1999,80,10,"F",57.51833,-136.54,"North_Early"
"24445",51.0893914958282,1987,51,2,"F",57.97834,-149.14666,"North_Early"
"24446",64.25392642501,2006,76,21,"M",55.64166667,-155.8453333,"North_Late"
"24447",61.9727863031823,2015,53,5,"F",55.56667,-134.9735,"North_Late"
"24448",72.2058603977873,1993,88,10,"F",60.8,-178.3717,"North_Early"
"24449",74.2622194683478,1989,80,13,"F",52.24167,-179.5983,"North_Early"
"24450",62.1836407498947,2001,64,8,"M",53.35,-168.985,"North_Early"
"24451",63.8390509713656,1987,56,12,"M",52.44,-170.28333,"North_Early"
"24452",69.8265732158384,1985,73,8,"F",53.77333,-167.3717,"North_Early"
"24453",56.1831443902351,1999,54,3,"F",53.77166667,-167.3291667,"North_Early"
"24454",64.4942003608605,1987,70,25,"M",53.97834,-163.23667,"North_Early"
"24455",72.1289274032444,2014,78,13,"F",57.11667,-151.2262,"North_Late"
"24456",62.8059631631779,1996,65,9,"M",55.355,-134.74266,"North_Early"
"24457",59.2987946182774,2005,66,4,"F",53.61167,-168.2962,"North_Late"
"24458",64.1947367585421,2007,68,6,"F",54.45666667,-133.9276667,"North_Late"
"24459",69.8265732158384,1985,73,8,"F",53.97166,-163.2667,"North_Early"
"24460",64.1485156011522,1996,61,14,"M",58.68833,-148.33301,"North_Early"
"24461",63.981210280351,2009,65,17,"M",55.98,-154.0198333,"North_Late"
"24462",75.035754948846,2001,64,15,"F",56.24333,-169.17,"North_Early"
"24463",64.3195767921525,2008,68,23,"M",55.98166667,-154.0241667,"North_Late"
"24464",68.1705315985811,1987,59,7,"F",57.63833,-149.88,"North_Early"
"24465",60.2517402012871,1996,64,4,"F",57.97333,-149.16699,"North_Early"
"24466",49.3165711764506,2010,44,2,"M",54.31,-161.0678333,"North_Late"
"24467",60.1720484321947,1989,59,6,"M",58.51167,-175.67,"North_Early"
"24468",56.9520873188476,2005,55,5,"M",54.13167,-161.6372,"North_Late"
"24469",66.0972200255199,1997,58,6,"F",53.185,-166.85833,"North_Early"
"24470",68.1705315985811,2002,71,7,"F",57.20833333,-136.2385,"North_Early"
"24471",69.8265732158384,2000,70,8,"F",51.84833333,-175.1318333,"North_Early"
"24472",56.1831443902351,1993,49,3,"F",55.755,-155.1317,"North_Early"
"24473",60.2517402012871,1996,66,4,"F",55.23667,-156.67583,"North_Early"
