"variable","value","sd","Sex","st"
"t0",-1.48429389716185,0.03046751391331,"F","ALL"
"t0",-1.37519636398063,0.0346826996134145,"M","ALL"
"k",0.290045960893545,0.00893009707558325,"F","ALL"
"k",0.37221685519756,0.0117487340087069,"M","ALL"
"Linf",73.5637143667777,0.0958939065433204,"F","ALL"
"Linf",63.0074486561664,0.0778840526434475,"M","ALL"
"Sigma",6.43289172083626,0.0228602955310229,"ALL","ALL"
