"0","library(lattice)"
"0","require(dplyr)"
"2","Loading required package: dplyr
"
"2","
Attaching package: ‘dplyr’

"
"2","The following objects are masked from ‘package:stats’:

    filter, lag

"
"2","The following objects are masked from ‘package:base’:

    intersect, setdiff, setequal, union

"
"0","require(purrr)"
"2","Loading required package: purrr
"
"0","require(tidyr)"
"2","Loading required package: tidyr
"
"0","# knitr::opts_chunk$set(root.dir =  ""C:/Users/Maia Kapur/Dropbox/UW/sab-growth/iPopSim"")"
"0","rm(list = ls())"
"0","source('system_presets_raw.R') ## system functions & IBM params"
"0","# generate.effort(level = c('LOW','MED','HIGH')[1], nsim = 1000) ## see system_presents for function; only occurs once"
"0","nboot <- 3"
