"cohort","uni_ind","ind","fish_size","Year","Age","AgeE","FMORT","M","Sel","FSIM"
1,1,1,62.4343160649718,0,0,0.500736106578942,0,0.25,0.000186637618122212,"LOW MED"
1,2,2,62.6822878891728,0,0,0.500263758588026,0,0.25,0.000191395367643222,"LOW MED"
1,2,2,98.4452591800475,1,1,1.50096844953505,0,0.25,0.00717552235711624,"LOW MED"
1,2,2,126.07216121143,2,2,2.50012575415453,0,0.25,0.106704581064962,"LOW MED"
1,2,2,147.413948213517,3,3,3.50045085574662,0,0.25,0.510505740240582,"LOW MED"
1,2,2,163.900482676377,4,4,4.49998202226159,0,0.25,0.847605944806076,"LOW MED"
1,2,2,176.636333641833,5,5,5.50037068768944,0,0.25,0.952981190717968,"LOW MED"
1,2,2,186.474780901911,6,6,6.49994994774684,0,0.25,0.982153994285594,"LOW MED"
1,3,3,62.7374366246582,0,0,0.499820595911041,0,0.25,0.000192469862652846,"LOW MED"
1,3,3,98.5745125582346,1,1,1.49995172313969,0,0.25,0.00726962116563276,"LOW MED"
1,3,3,126.283017332521,2,2,2.50019172608326,0,0.25,0.108762481874968,"LOW MED"
1,3,3,147.70667472716,3,3,3.50003192403855,0,0.25,0.517929900045799,"LOW MED"
1,3,3,164.271014806198,4,4,4.49840993243704,0,0.25,0.852402167251854,"LOW MED"
1,4,4,62.9404909226986,0,0,0.499373092865386,0,0.25,0.000196478332968274,"LOW MED"
1,4,4,99.0510617955536,1,1,1.49965345010271,0,0.25,0.00762726275364762,"LOW MED"
1,4,4,127.061392352975,2,2,2.50073674086482,0,0.25,0.11666331784419,"LOW MED"
1,4,4,148.78850989699,3,3,3.50075506465518,0,0.25,0.545273574297183,"LOW MED"
1,4,4,165.641850338785,4,4,4.49870721869605,0,0.25,0.869068925970271,"LOW MED"
1,4,4,178.714688163299,5,5,5.49934414293766,0,0.25,0.961582516464454,"LOW MED"
1,5,5,61.9184867260539,0,0,0.499116896998897,0,0.25,0.000177116021998382,"LOW MED"
1,5,5,96.662829453741,1,1,1.5013320185952,0,0.25,0.00599478423342127,"LOW MED"
1,5,5,123.17578770457,2,2,2.49949923164407,0,0.25,0.0817406120559789,"LOW MED"
1,5,5,143.407482997227,3,3,3.5014497818715,0,0.25,0.409808569335331,"LOW MED"
1,6,6,64.8822249094194,0,0,0.499730340289781,0,0.25,0.000239285694857403,"LOW MED"
1,6,6,103.65945273479,1,1,1.49980825611395,0,0.25,0.0121228187799228,"LOW MED"
1,7,7,59.6764552959841,0,0,0.499669289281086,0,0.25,0.000141062391405332,"LOW MED"
1,7,7,91.5138103605285,1,1,1.50148205945855,0,0.25,0.00356278065701343,"LOW MED"
1,7,7,114.928788326566,2,2,2.49930816180253,0,0.25,0.0371023645848367,"LOW MED"
1,7,7,132.149477420824,3,3,3.49909872176418,0,0.25,0.181263743943775,"LOW MED"
1,7,7,144.814538789289,4,4,4.50155753312348,0,0.25,0.444752731532871,"LOW MED"
