"Year","Age","AgeE","Length_cm","FSIM","FMORT","block","Flev","REG"
7,0,0.500175056255603,6.3082947367106,"HIGH LOW",0,"early","high","R1"
21,1,1.50108436230472,10.4932867856222,"HIGH LOW",0,"early","high","R1"
14,0,0.500530285815259,6.35068153730409,"HIGH LOW",0,"early","high","R1"
32,8,8.49968672347562,18.2648609528994,"HIGH LOW",0,"early","high","R1"
48,1,1.50004350142988,10.1671875650465,"HIGH LOW",0,"early","high","R1"
7,5,5.50030323506339,16.9314970833858,"HIGH LOW",0,"early","high","R1"
44,3,3.50064822848168,15.4477652364496,"HIGH LOW",0,"early","high","R1"
17,4,4.49901911299166,14.9233990444083,"HIGH LOW",0,"early","high","R1"
87,0,0.500030417636859,6.12062441605783,"HIGH LOW",0.172422544448636,"late","low","R1"
4,4,4.4986822618679,16.4027684129753,"HIGH LOW",0,"early","high","R1"
66,0,0.499280341580494,6.39827695138501,"HIGH LOW",0.321569515019655,"early","high","R1"
2,1,1.49905027202476,10.2564716747753,"HIGH LOW",0,"early","high","R1"
17,2,2.49876580778252,12.8030360811519,"HIGH LOW",0,"early","high","R1"
34,5,5.49998262202151,17.7750646003716,"HIGH LOW",0,"early","high","R1"
14,4,4.49833518596066,15.5080917901663,"HIGH LOW",0,"early","high","R1"
6,2,2.50062690047069,12.0429175253668,"HIGH LOW",0,"early","high","R1"
36,1,1.49840253745388,9.9219849476657,"HIGH LOW",0,"early","high","R1"
26,4,4.50168091512407,17.2659720322085,"HIGH LOW",0,"early","high","R1"
5,3,3.5006373122182,15.2656237727821,"HIGH LOW",0,"early","high","R1"
59,0,0.50047454075932,6.23966148763277,"HIGH LOW",0.339670327119529,"early","high","R1"
86,0,0.50055669526683,6.27674975836012,"HIGH LOW",0.190158369159326,"late","low","R1"
89,1,1.49974531529215,9.2034457908793,"HIGH LOW",0.105991489300504,"late","low","R1"
68,1,1.50038730848615,10.345730985922,"HIGH LOW",0.360261952504516,"early","high","R1"
7,3,3.5004842434216,14.134158577571,"HIGH LOW",0,"early","high","R1"
59,0,0.500898559045626,6.41959037353835,"HIGH LOW",0.315717007801868,"early","high","R1"
84,3,3.5005430844102,15.504316575013,"HIGH LOW",0.139526065276004,"late","low","R1"
23,3,3.4992768673382,15.6118201261946,"HIGH LOW",0,"early","high","R1"
9,7,7.49905631271779,18.4828384992243,"HIGH LOW",0,"early","high","R1"
64,0,0.498764789030832,6.06673014257238,"HIGH LOW",0.372777720866725,"early","high","R1"
6,1,1.50193207191159,9.75971570724077,"HIGH LOW",0,"early","high","R1"
34,4,4.49706463335284,16.2642914216905,"HIGH LOW",0,"early","high","R1"
19,0,0.501728341344369,6.37085706735233,"HIGH LOW",0,"early","high","R1"
4,2,2.50095680812537,12.263999030113,"HIGH LOW",0,"early","high","R1"
63,3,3.50131353266736,13.1484383186761,"HIGH LOW",0.348524443875067,"early","high","R1"
49,0,0.500614234583497,6.37359699911911,"HIGH LOW",0,"early","high","R1"
11,0,0.500109160009747,6.14770650965647,"HIGH LOW",0,"early","high","R1"
20,1,1.49952484351987,10.000250352419,"HIGH LOW",0,"early","high","R1"
13,0,0.49988968516609,6.06713747230943,"HIGH LOW",0,"early","high","R1"
20,1,1.50004879237708,10.9375628644799,"HIGH LOW",0,"early","high","R1"
69,3,3.49891073987618,13.7352280788041,"HIGH LOW",0.304890335677192,"early","high","R1"
16,10,10.5005394736963,18.5637936102939,"HIGH LOW",0,"early","high","R1"
55,1,1.50037562433279,9.90792914690542,"HIGH LOW",0.353638117411174,"early","high","R1"
80,1,1.50122542919229,9.35194237466017,"HIGH LOW",0.122878325986676,"late","low","R1"
84,0,0.500044749429866,6.39723312218168,"HIGH LOW",0.113771291612647,"late","low","R1"
22,2,2.49931214829922,13.5850657517954,"HIGH LOW",0,"early","high","R1"
45,0,0.499828993622276,6.34816556737669,"HIGH LOW",0,"early","high","R1"
26,0,0.498943279131095,6.24413890781576,"HIGH LOW",0,"early","high","R1"
52,5,5.50040297254408,17.0678846018004,"HIGH LOW",0.306020888965577,"early","high","R1"
22,4,4.49913836616448,17.1164439470052,"HIGH LOW",0,"early","high","R1"
96,2,2.49947355851161,13.5471372026166,"HIGH LOW",0.112085120100528,"late","low","R1"
10,7,7.49874870461778,18.1700042761586,"HIGH LOW",0,"early","high","R1"
21,0,0.499413707481796,6.06851982734376,"HIGH LOW",0,"early","high","R1"
41,2,2.50164893566425,12.4014157746106,"HIGH LOW",0,"early","high","R1"
78,1,1.50007511550921,10.0125423770166,"HIGH LOW",0.176593079837039,"late","low","R1"
11,0,0.499115751478307,6.18511101950632,"HIGH LOW",0,"early","high","R1"
15,1,1.50084277220449,9.94165391729278,"HIGH LOW",0,"early","high","R1"
84,1,1.49866552192123,9.82030181788936,"HIGH LOW",0.139526065276004,"late","low","R1"
37,4,4.50097314195702,16.5714279090871,"HIGH LOW",0,"early","high","R1"
90,3,3.50110718059398,15.2449933635388,"HIGH LOW",0.184006446506828,"late","low","R1"
26,6,6.49999130410315,18.552385975821,"HIGH LOW",0,"early","high","R1"
3,1,1.50146788598874,10.0740425584791,"HIGH LOW",0,"early","high","R1"
44,1,1.49987018445061,9.40610819904266,"HIGH LOW",0,"early","high","R1"
6,1,1.4985724121007,10.6023469816698,"HIGH LOW",0,"early","high","R1"
13,3,3.5005855853724,14.0406545539397,"HIGH LOW",0,"early","high","R1"
78,1,1.50001585353136,9.82229056030293,"HIGH LOW",0.176593079837039,"late","low","R1"
97,0,0.501352738133757,6.11034581233556,"HIGH LOW",0.174012712412514,"late","low","R1"
90,6,6.50088613574524,19.0512429580339,"HIGH LOW",0.184006446506828,"late","low","R1"
55,1,1.49868788183109,9.6703229726158,"HIGH LOW",0.346665133652277,"early","high","R1"
88,2,2.50053281326975,12.6195826755079,"HIGH LOW",0.124958700872958,"late","low","R1"
76,0,0.49932682222335,6.60943792593332,"HIGH LOW",0.140906995930709,"late","low","R1"
45,2,2.49986797529328,13.565706461065,"HIGH LOW",0,"early","high","R1"
8,5,5.50007776108857,15.9726886768415,"HIGH LOW",0,"early","high","R1"
18,4,4.50005246719058,16.3267912189729,"HIGH LOW",0,"early","high","R1"
37,4,4.50039543151433,15.0287476707938,"HIGH LOW",0,"early","high","R1"
10,0,0.499312133781152,6.23412957632443,"HIGH LOW",0,"early","high","R1"
44,9,9.50034101049841,22.4615123357889,"HIGH LOW",0,"early","high","R1"
43,6,6.5000259707298,19.8059814153037,"HIGH LOW",0,"early","high","R1"
34,0,0.498693324456415,6.23710918581194,"HIGH LOW",0,"early","high","R1"
88,6,6.49926919777154,17.7197112523446,"HIGH LOW",0.161117776297033,"late","low","R1"
34,6,6.49953626378994,18.8408066127519,"HIGH LOW",0,"early","high","R1"
28,2,2.49948665968028,11.9265668226594,"HIGH LOW",0,"early","high","R1"
76,3,3.49925171872661,14.7598812084301,"HIGH LOW",0.140906995930709,"late","low","R1"
19,3,3.49847252787893,14.4366380319586,"HIGH LOW",0,"early","high","R1"
18,1,1.49908715005942,10.1370121961099,"HIGH LOW",0,"early","high","R1"
10,2,2.49981726165231,12.4446968138634,"HIGH LOW",0,"early","high","R1"
20,0,0.500219393210358,6.64322776631854,"HIGH LOW",0,"early","high","R1"
80,1,1.5014923468244,10.5195211737575,"HIGH LOW",0.122878325986676,"late","low","R1"
15,3,3.49938887764969,14.3132231489533,"HIGH LOW",0,"early","high","R1"
72,4,4.50104495599851,15.4719036971303,"HIGH LOW",0.306529361521825,"early","high","R1"
38,0,0.500057898551173,6.20965287438046,"HIGH LOW",0,"early","high","R1"
93,1,1.50060562411787,9.64168041341162,"HIGH LOW",0.137755130627193,"late","low","R1"
12,1,1.4991960455493,9.63672646154984,"HIGH LOW",0,"early","high","R1"
13,2,2.50147922008206,12.2922429104502,"HIGH LOW",0,"early","high","R1"
20,0,0.499733987255996,6.23229999249329,"HIGH LOW",0,"early","high","R1"
67,0,0.49806638223464,6.32410825621426,"HIGH LOW",0.358294282224961,"early","high","R1"
15,0,0.499858602908429,6.06605936569482,"HIGH LOW",0,"early","high","R1"
25,3,3.49969228906885,13.887547899858,"HIGH LOW",0,"early","high","R1"
23,4,4.50136801228239,17.9753740371639,"HIGH LOW",0,"early","high","R1"
37,5,5.50093945989367,21.7660464038756,"HIGH LOW",0,"early","high","R1"
37,7,7.50096366504051,18.8926926128949,"HIGH LOW",0,"early","high","R1"
81,2,2.49913877471356,12.9561197344367,"HIGH LOW",0.157848315546289,"late","low","R1"
96,0,0.500629594060199,6.48446964789961,"HIGH LOW",0.112085120100528,"late","low","R1"
69,1,1.50199674553693,9.71103361254236,"HIGH LOW",0.389248084812425,"early","high","R1"
91,0,0.500968158484167,5.83761082169621,"HIGH LOW",0.186103868833743,"late","low","R1"
45,2,2.50019594895092,12.8050737839126,"HIGH LOW",0,"early","high","R1"
36,4,4.49967522983351,16.8462488270711,"HIGH LOW",0,"early","high","R1"
71,6,6.49831831793676,19.4074377253622,"HIGH LOW",0.385462427185848,"early","high","R1"
