"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG"
41,3,3.50026622705926,30.2946809500049,"HIGH LOW","early","high","R2"
95,1,1.4995050060225,16.1099609749403,"HIGH LOW","late","low","R2"
26,6,6.50010949551062,33.9866830262954,"HIGH LOW","early","high","R2"
32,0,0.503116972335739,5.18976786591114,"HIGH LOW","early","high","R2"
40,2,2.50101980565968,21.6632437503101,"HIGH LOW","early","high","R2"
15,0,0.501406283631698,5.27838841901689,"HIGH LOW","early","high","R2"
31,0,0.500378565058566,4.83603526996489,"HIGH LOW","early","high","R2"
19,4,4.49872946128544,33.2992971249327,"HIGH LOW","early","high","R2"
14,4,4.49881095948359,30.0329413188173,"HIGH LOW","early","high","R2"
5,0,0.501527249821344,4.90703193076615,"HIGH LOW","early","high","R2"
22,13,13.4998929214948,36.1439253432173,"HIGH LOW","early","high","R2"
24,2,2.49936081882153,21.6308396203935,"HIGH LOW","early","high","R2"
63,1,1.49937195585626,16.4555391463805,"HIGH LOW","early","high","R2"
89,1,1.4988813742076,15.7260665202595,"HIGH LOW","late","low","R2"
13,0,0.499095550569213,4.97996343508048,"HIGH LOW","early","high","R2"
79,0,0.500819476228706,4.92133710475529,"HIGH LOW","late","low","R2"
7,6,6.50181061310723,32.8337442317979,"HIGH LOW","early","high","R2"
30,5,5.49833177718278,35.1673933471828,"HIGH LOW","early","high","R2"
96,1,1.50007941531969,15.1560408263728,"HIGH LOW","late","low","R2"
2,0,0.5006410865142,4.92867343811095,"HIGH LOW","early","high","R2"
32,12,12.5007169016005,36.0773114498532,"HIGH LOW","early","high","R2"
39,1,1.5006278230198,15.0199657356569,"HIGH LOW","early","high","R2"
42,1,1.49927799205736,15.5936854330063,"HIGH LOW","early","high","R2"
30,4,4.5011363193854,28.2761562798095,"HIGH LOW","early","high","R2"
25,3,3.50109641544339,25.449770573784,"HIGH LOW","early","high","R2"
43,2,2.5004336859757,22.8132249601454,"HIGH LOW","early","high","R2"
35,1,1.49787727994966,15.6618384246147,"HIGH LOW","early","high","R2"
4,0,0.502257057808036,5.13274438846655,"HIGH LOW","early","high","R2"
56,0,0.500909049385141,4.86235231082958,"HIGH LOW","early","high","R2"
31,0,0.498947038448365,4.92344759581249,"HIGH LOW","early","high","R2"
71,1,1.50014525037959,16.0708188324773,"HIGH LOW","early","high","R2"
47,2,2.49825557515188,21.9017677238614,"HIGH LOW","early","high","R2"
87,0,0.498617736228816,5.10982519622246,"HIGH LOW","late","low","R2"
16,5,5.50049188427411,33.679190700417,"HIGH LOW","early","high","R2"
34,1,1.50141803496854,15.6678122504677,"HIGH LOW","early","high","R2"
14,0,0.498817636333082,5.08803841522291,"HIGH LOW","early","high","R2"
63,0,0.50011003715163,5.2120777778825,"HIGH LOW","early","high","R2"
88,7,7.50082811848789,29.6907766602146,"HIGH LOW","late","low","R2"
5,0,0.501631071450921,5.06420839608385,"HIGH LOW","early","high","R2"
81,2,2.49820817860322,21.6069854195898,"HIGH LOW","late","low","R2"
58,1,1.49965047020093,16.3732018484722,"HIGH LOW","early","high","R2"
3,0,0.499021214970558,4.8983841468508,"HIGH LOW","early","high","R2"
11,3,3.49997843321981,28.9781957425235,"HIGH LOW","early","high","R2"
67,1,1.49982665492923,16.6330677764609,"HIGH LOW","early","high","R2"
17,6,6.49989367718867,31.6684240102022,"HIGH LOW","early","high","R2"
2,2,2.49838024113505,20.8476707579129,"HIGH LOW","early","high","R2"
53,3,3.50054835329597,28.7719863411039,"HIGH LOW","early","high","R2"
15,1,1.49976229586903,15.4898818832736,"HIGH LOW","early","high","R2"
86,0,0.498607231563033,5.02040249822646,"HIGH LOW","late","low","R2"
28,2,2.50008135254182,23.9588366560212,"HIGH LOW","early","high","R2"
58,1,1.50034687882392,16.2390270971296,"HIGH LOW","early","high","R2"
26,7,7.49913509799045,31.8391364353139,"HIGH LOW","early","high","R2"
97,0,0.500533204229855,4.91479371986776,"HIGH LOW","late","low","R2"
17,12,12.5019291685403,34.7617638356094,"HIGH LOW","early","high","R2"
38,3,3.50007189485556,27.3883317634528,"HIGH LOW","early","high","R2"
78,1,1.49968169502327,15.9518388236488,"HIGH LOW","late","low","R2"
59,0,0.50102416607396,5.02661316147451,"HIGH LOW","early","high","R2"
36,1,1.50053052662773,15.389452925994,"HIGH LOW","early","high","R2"
1,0,0.498396832882367,4.71046658899275,"HIGH LOW","early","high","R2"
70,2,2.50022523280319,23.0766704220222,"HIGH LOW","early","high","R2"
38,4,4.4993575933788,32.4711666832875,"HIGH LOW","early","high","R2"
38,4,4.49991254775114,28.6152755088723,"HIGH LOW","early","high","R2"
17,11,11.5001859343859,34.1639220457573,"HIGH LOW","early","high","R2"
3,2,2.49927033125321,23.0888938000102,"HIGH LOW","early","high","R2"
8,1,1.49924247461854,15.9245509216138,"HIGH LOW","early","high","R2"
8,1,1.50018948677532,15.7772287979473,"HIGH LOW","early","high","R2"
36,3,3.50059094400071,27.0295355775739,"HIGH LOW","early","high","R2"
91,2,2.4987159851976,20.9152674181294,"HIGH LOW","late","low","R2"
97,0,0.500577883011236,4.95293199060455,"HIGH LOW","late","low","R2"
31,2,2.50097213398176,23.5648163126078,"HIGH LOW","early","high","R2"
15,0,0.4997049174189,5.03943779713169,"HIGH LOW","early","high","R2"
29,0,0.499744532684857,4.82025921215455,"HIGH LOW","early","high","R2"
2,1,1.49878100656732,15.0753889199944,"HIGH LOW","early","high","R2"
19,1,1.50174351567125,15.4595689067029,"HIGH LOW","early","high","R2"
30,1,1.50140177482298,16.1373155608023,"HIGH LOW","early","high","R2"
74,0,0.5006369769566,5.09741166875331,"HIGH LOW","early","high","R2"
21,1,1.50043387969558,15.6876461657867,"HIGH LOW","early","high","R2"
95,0,0.499542910893053,4.92911153498924,"HIGH LOW","late","low","R2"
18,4,4.49920254498105,29.8473331879379,"HIGH LOW","early","high","R2"
6,0,0.500124182251956,4.86138742819768,"HIGH LOW","early","high","R2"
39,1,1.49975897645815,15.4866870433334,"HIGH LOW","early","high","R2"
14,2,2.50058498973064,21.4600795658339,"HIGH LOW","early","high","R2"
6,1,1.50087294916062,15.845427918227,"HIGH LOW","early","high","R2"
22,8,8.50121880703225,34.1646202763352,"HIGH LOW","early","high","R2"
33,6,6.49923782609755,33.9563621628684,"HIGH LOW","early","high","R2"
35,2,2.4998255846673,22.668801230539,"HIGH LOW","early","high","R2"
35,4,4.50104447923741,30.0471387055534,"HIGH LOW","early","high","R2"
19,5,5.4993814202947,32.2218537111727,"HIGH LOW","early","high","R2"
34,5,5.50096556842973,31.2602403539163,"HIGH LOW","early","high","R2"
13,1,1.50135583272776,15.8706528164442,"HIGH LOW","early","high","R2"
6,6,6.50016393225334,29.2710241489121,"HIGH LOW","early","high","R2"
44,0,0.499936928216448,4.85083069198285,"HIGH LOW","early","high","R2"
24,0,0.499783958682762,5.14848298490508,"HIGH LOW","early","high","R2"
8,6,6.50086225104855,33.1942988109692,"HIGH LOW","early","high","R2"
21,4,4.50023759697401,30.4116386468719,"HIGH LOW","early","high","R2"
24,0,0.499568314124018,5.14219808749985,"HIGH LOW","early","high","R2"
61,1,1.49899545749133,16.3234974172262,"HIGH LOW","early","high","R2"
22,1,1.5001315231769,16.9093508583625,"HIGH LOW","early","high","R2"
14,0,0.5005305235395,5.02952643355494,"HIGH LOW","early","high","R2"
24,3,3.50047481047645,29.02238538706,"HIGH LOW","early","high","R2"
5,1,1.49878650948213,16.2621062263328,"HIGH LOW","early","high","R2"
34,1,1.49935284777833,15.9022226687568,"HIGH LOW","early","high","R2"
64,2,2.50050737331709,21.6906699616506,"HIGH LOW","early","high","R2"
29,4,4.50253796317091,30.4660877269252,"HIGH LOW","early","high","R2"
13,0,0.499325506265018,5.1756908116188,"HIGH LOW","early","high","R2"
48,1,1.49977398052215,15.9185585084,"HIGH LOW","early","high","R2"
32,3,3.49916779504453,28.3035599003263,"HIGH LOW","early","high","R2"
58,0,0.501678281828079,5.05967141310257,"HIGH LOW","early","high","R2"
18,7,7.50022924297611,32.8403741754529,"HIGH LOW","early","high","R2"
38,6,6.49900263414642,31.2003619238061,"HIGH LOW","early","high","R2"
1,1,1.50064676983984,16.0697089375937,"HIGH LOW","early","high","R2"
100,1,1.50047430420498,15.5338469215968,"HIGH LOW","late","low","R2"
18,8,8.49940168863412,34.2628576737061,"HIGH LOW","early","high","R2"
36,3,3.50014397690835,27.0993337252233,"HIGH LOW","early","high","R2"
3,1,1.49956174446779,15.6124793634929,"HIGH LOW","early","high","R2"
77,0,0.498456083916882,4.79649349445396,"HIGH LOW","late","low","R2"
62,1,1.50127802262173,16.4184302677337,"HIGH LOW","early","high","R2"
38,8,8.4999718372576,33.1265875350754,"HIGH LOW","early","high","R2"
39,5,5.500365149937,35.4943350001382,"HIGH LOW","early","high","R2"
53,0,0.499762814986156,5.10108279485292,"HIGH LOW","early","high","R2"
9,3,3.49898560931856,27.6474276279504,"HIGH LOW","early","high","R2"
27,8,8.50070870573159,36.2229801235616,"HIGH LOW","early","high","R2"
20,1,1.50104065249506,16.3721575315461,"HIGH LOW","early","high","R2"
29,4,4.49810755102196,30.6488625915972,"HIGH LOW","early","high","R2"
46,0,0.500464354905825,5.30979375460821,"HIGH LOW","early","high","R2"
73,1,1.5008641054813,15.4181203475758,"HIGH LOW","early","high","R2"
96,0,0.499177759055902,4.90760135292094,"HIGH LOW","late","low","R2"
13,4,4.49978223459338,28.9484725352291,"HIGH LOW","early","high","R2"
9,4,4.49809907805783,31.2850825953628,"HIGH LOW","early","high","R2"
60,2,2.49973471405613,23.2433214256321,"HIGH LOW","early","high","R2"
73,0,0.499704869632553,5.15102234581211,"HIGH LOW","early","high","R2"
25,7,7.49972720743286,32.9069818736944,"HIGH LOW","early","high","R2"
27,3,3.5005971954647,25.4142365854225,"HIGH LOW","early","high","R2"
14,3,3.49872996664581,28.8867677774959,"HIGH LOW","early","high","R2"
41,5,5.49825512948332,32.6144610946922,"HIGH LOW","early","high","R2"
33,3,3.50044473857389,27.687638285456,"HIGH LOW","early","high","R2"
6,2,2.50133934046343,23.0617511309202,"HIGH LOW","early","high","R2"
22,2,2.49999930263301,21.4104483290876,"HIGH LOW","early","high","R2"
34,1,1.50111949591929,15.7367840632096,"HIGH LOW","early","high","R2"
34,3,3.50133598475844,26.9553741610118,"HIGH LOW","early","high","R2"
43,0,0.499622911861701,5.02647532350384,"HIGH LOW","early","high","R2"
43,0,0.499965235215087,4.73140988243,"HIGH LOW","early","high","R2"
12,3,3.49983074280745,25.7138559855174,"HIGH LOW","early","high","R2"
26,1,1.50027286035243,16.2183890333796,"HIGH LOW","early","high","R2"
61,0,0.500969043848762,4.86433612756495,"HIGH LOW","early","high","R2"
94,1,1.50250853710481,15.6210503606283,"HIGH LOW","late","low","R2"
63,0,0.500893681175898,5.02310328232285,"HIGH LOW","early","high","R2"
19,4,4.50066812603615,28.0873464385566,"HIGH LOW","early","high","R2"
56,2,2.49976944262643,20.9709698643896,"HIGH LOW","early","high","R2"
42,0,0.499199077734783,5.36955739045513,"HIGH LOW","early","high","R2"
48,1,1.50061971870023,15.2809431704395,"HIGH LOW","early","high","R2"
8,4,4.49974541108237,31.7955560300439,"HIGH LOW","early","high","R2"
85,1,1.50013353336988,15.7174773042381,"HIGH LOW","late","low","R2"
43,0,0.501502190924531,5.03417228481498,"HIGH LOW","early","high","R2"
84,0,0.498310527371708,4.95630636606992,"HIGH LOW","late","low","R2"
84,1,1.50002363465824,15.081591828642,"HIGH LOW","late","low","R2"
25,1,1.50025995014664,15.7347032182529,"HIGH LOW","early","high","R2"
4,0,0.500261125386713,5.01363022128525,"HIGH LOW","early","high","R2"
82,1,1.499220279822,14.9642987276105,"HIGH LOW","late","low","R2"
55,0,0.50090234888925,4.7949391196719,"HIGH LOW","early","high","R2"
17,0,0.499298885903407,4.99111068410232,"HIGH LOW","early","high","R2"
56,0,0.501323201384755,5.01920503281912,"HIGH LOW","early","high","R2"
95,1,1.49804107892694,15.2327727260517,"HIGH LOW","late","low","R2"
43,0,0.49955531777016,5.0001529857187,"HIGH LOW","early","high","R2"
69,0,0.49909672511189,4.97064075298292,"HIGH LOW","early","high","R2"
16,10,10.5011573086082,35.4496172493321,"HIGH LOW","early","high","R2"
28,1,1.50047166004323,15.7876696365564,"HIGH LOW","early","high","R2"
24,6,6.50035007709548,39.7432483010196,"HIGH LOW","early","high","R2"
17,1,1.49905223280152,15.6575199673999,"HIGH LOW","early","high","R2"
33,6,6.49828966764259,31.9878078065454,"HIGH LOW","early","high","R2"
36,5,5.5001030922741,30.3265022791704,"HIGH LOW","early","high","R2"
39,3,3.50097322933686,27.2382671127125,"HIGH LOW","early","high","R2"
17,4,4.49965677076944,32.7209962567304,"HIGH LOW","early","high","R2"
2,2,2.50035807618454,22.909900618826,"HIGH LOW","early","high","R2"
24,3,3.49989125449397,29.261845712554,"HIGH LOW","early","high","R2"
30,4,4.49981218978762,29.2785343758621,"HIGH LOW","early","high","R2"
21,0,0.500219738901426,5.11663074239784,"HIGH LOW","early","high","R2"
34,7,7.50001058927541,32.6511030938577,"HIGH LOW","early","high","R2"
26,2,2.502624350836,23.1226799913596,"HIGH LOW","early","high","R2"
42,0,0.500518584636188,4.97446005758355,"HIGH LOW","early","high","R2"
99,1,1.50072737694587,16.4591844369933,"HIGH LOW","late","low","R2"
18,3,3.50172373467576,29.8166692606614,"HIGH LOW","early","high","R2"
16,5,5.49770088707006,35.3903631966922,"HIGH LOW","early","high","R2"
27,7,7.50124701706141,31.4069790069089,"HIGH LOW","early","high","R2"
22,1,1.49971969176247,15.1506165550526,"HIGH LOW","early","high","R2"
35,4,4.50140879899399,29.5942839922796,"HIGH LOW","early","high","R2"
36,3,3.50052396810649,26.3496667920027,"HIGH LOW","early","high","R2"
17,12,12.4990256628619,32.0797851341807,"HIGH LOW","early","high","R2"
34,0,0.500323404013457,5.11620645818163,"HIGH LOW","early","high","R2"
34,1,1.49884861726095,15.5344493654147,"HIGH LOW","early","high","R2"
89,1,1.49911760081722,15.7034726237048,"HIGH LOW","late","low","R2"
86,2,2.50064759536229,23.8322683280178,"HIGH LOW","late","low","R2"
19,0,0.500573950873111,5.02505768455275,"HIGH LOW","early","high","R2"
30,0,0.499744325528089,5.0306590549304,"HIGH LOW","early","high","R2"
7,4,4.50183095018205,32.2996496068443,"HIGH LOW","early","high","R2"
26,9,9.50045589933965,38.0137557786605,"HIGH LOW","early","high","R2"
50,0,0.498628275429114,4.87643776730291,"HIGH LOW","early","high","R2"
17,2,2.50163448401564,21.8752697445604,"HIGH LOW","early","high","R2"
76,1,1.49981064917478,16.0296795237077,"HIGH LOW","late","low","R2"
35,1,1.50120643917769,16.5754751959011,"HIGH LOW","early","high","R2"
9,0,0.499278324451547,4.94416500432676,"HIGH LOW","early","high","R2"
59,0,0.499858329383606,4.95732317397922,"HIGH LOW","early","high","R2"
81,2,2.49924555716563,23.7141661280463,"HIGH LOW","late","low","R2"
69,0,0.500058399653082,5.02959345281891,"HIGH LOW","early","high","R2"
26,1,1.49959999354459,16.8615526297284,"HIGH LOW","early","high","R2"
47,2,2.49868745716136,21.3170233976882,"HIGH LOW","early","high","R2"
31,0,0.498700147559741,5.07936893394561,"HIGH LOW","early","high","R2"
27,2,2.50004527318621,22.2306929446496,"HIGH LOW","early","high","R2"
13,8,8.50131278039072,31.6060390484199,"HIGH LOW","early","high","R2"
7,3,3.50048967541137,28.2406552541801,"HIGH LOW","early","high","R2"
12,1,1.49913887661111,16.0943627041154,"HIGH LOW","early","high","R2"
30,3,3.50166587287607,25.7636120536754,"HIGH LOW","early","high","R2"
22,9,9.50007142114194,33.9900496553284,"HIGH LOW","early","high","R2"
38,4,4.50091048892914,28.5113010817113,"HIGH LOW","early","high","R2"
41,1,1.49983046171394,15.8663173209464,"HIGH LOW","early","high","R2"
20,0,0.499098331589562,4.96658847480003,"HIGH LOW","early","high","R2"
11,0,0.499399709961065,5.16167700648919,"HIGH LOW","early","high","R2"
52,0,0.500428524034618,4.88392720455342,"HIGH LOW","early","high","R2"
85,1,1.49904764454987,14.7559709262568,"HIGH LOW","late","low","R2"
24,10,10.4992058772496,39.6336603485447,"HIGH LOW","early","high","R2"
26,8,8.50041983346716,41.8814829825128,"HIGH LOW","early","high","R2"
8,0,0.501392650699501,4.95054444736167,"HIGH LOW","early","high","R2"
23,7,7.50078696231282,31.0593639648372,"HIGH LOW","early","high","R2"
36,2,2.49843915962439,23.0194185672762,"HIGH LOW","early","high","R2"
26,6,6.50005976246318,33.4862050813554,"HIGH LOW","early","high","R2"
12,0,0.500370448374252,5.01808949395849,"HIGH LOW","early","high","R2"
39,2,2.4991304714762,21.5613198859819,"HIGH LOW","early","high","R2"
16,2,2.49882529987987,22.6933057832209,"HIGH LOW","early","high","R2"
38,6,6.50056937527219,31.5815384522796,"HIGH LOW","early","high","R2"
4,1,1.50057477008701,16.6538694103751,"HIGH LOW","early","high","R2"
38,6,6.50139657129281,33.3355017605432,"HIGH LOW","early","high","R2"
37,0,0.501089813351811,5.20674027391922,"HIGH LOW","early","high","R2"
14,0,0.50031501722652,5.16358939598474,"HIGH LOW","early","high","R2"
36,2,2.50049425358982,24.1635874628608,"HIGH LOW","early","high","R2"
60,0,0.49920804720129,4.75742512965072,"HIGH LOW","early","high","R2"
20,1,1.50052771219959,15.5321850706618,"HIGH LOW","early","high","R2"
31,0,0.499932458689478,5.03801887795144,"HIGH LOW","early","high","R2"
91,0,0.499792641019077,4.71335405872057,"HIGH LOW","late","low","R2"
44,1,1.49866596007569,15.5277401374091,"HIGH LOW","early","high","R2"
31,11,11.499836213534,35.9878261568537,"HIGH LOW","early","high","R2"
95,1,1.49818719632005,16.5437143670964,"HIGH LOW","late","low","R2"
3,2,2.50030039434106,23.698991118376,"HIGH LOW","early","high","R2"
31,7,7.49929215215941,35.9850088146651,"HIGH LOW","early","high","R2"
10,0,0.499414620123502,4.90621542313858,"HIGH LOW","early","high","R2"
7,1,1.5003524367988,15.791749377493,"HIGH LOW","early","high","R2"
49,2,2.49916073235831,22.2795977450481,"HIGH LOW","early","high","R2"
29,1,1.50064850357755,15.6091590310604,"HIGH LOW","early","high","R2"
24,5,5.50039438497271,31.7710583362449,"HIGH LOW","early","high","R2"
98,1,1.49969887126393,15.8596436983582,"HIGH LOW","late","low","R2"
40,0,0.501085756430766,4.92420858471287,"HIGH LOW","early","high","R2"
82,0,0.499195808643085,5.04615539947659,"HIGH LOW","late","low","R2"
23,1,1.4990012973606,14.8343891396217,"HIGH LOW","early","high","R2"
23,0,0.499489893943611,5.08035134222499,"HIGH LOW","early","high","R2"
64,1,1.50025187555691,15.0236610994451,"HIGH LOW","early","high","R2"
58,1,1.49933328393427,16.0170783909744,"HIGH LOW","early","high","R2"
17,3,3.50025066273729,27.0641821108299,"HIGH LOW","early","high","R2"
3,3,3.50092109375088,24.4858698216669,"HIGH LOW","early","high","R2"
