"Year","Age","AgeE","FSIM","Length_cm"
91,2,2.49866675155119,"LOW HIGH",12.5775064519754
58,0,0.499484556158195,"LOW HIGH",6.30697160568228
66,0,0.500100791879032,"LOW HIGH",6.68721975352761
38,2,2.49834787356481,"LOW HIGH",11.6677865344758
14,4,4.49938148999794,"LOW HIGH",18.6331311010877
36,4,4.49962222773112,"LOW HIGH",16.1313404147896
45,3,3.49884863193459,"LOW HIGH",15.350848382521
68,2,2.49700781168594,"LOW HIGH",12.0166744680106
19,8,8.4995885023007,"LOW HIGH",18.6382714679773
4,3,3.49961383147757,"LOW HIGH",15.2998620041097
18,7,7.49841406716722,"LOW HIGH",20.9469713877335
89,0,0.500172969193999,"LOW HIGH",6.53989477765393
8,1,1.50074268782518,"LOW HIGH",10.4412445821845
4,2,2.49834589607105,"LOW HIGH",12.509778242468
96,1,1.50100677292832,"LOW HIGH",9.68529229088489
91,0,0.50062500646857,"LOW HIGH",6.08410274453293
22,2,2.49875360732965,"LOW HIGH",12.0506296963817
94,2,2.4994221449158,"LOW HIGH",12.6650956345848
29,3,3.49959488295854,"LOW HIGH",13.7835669842737
64,3,3.50088712985484,"LOW HIGH",14.692752468456
16,5,5.50015353262167,"LOW HIGH",17.0386755112566
77,0,0.500153975324788,"LOW HIGH",6.45456402719458
3,0,0.500480845341562,"LOW HIGH",6.39024519043345
3,2,2.4990524469791,"LOW HIGH",11.7130851532809
85,7,7.49915778060159,"LOW HIGH",21.3843400616245
93,1,1.50099465062336,"LOW HIGH",9.87998934707397
14,3,3.50032334772198,"LOW HIGH",14.3246314285107
96,0,0.499931067457207,"LOW HIGH",6.06074515426266
86,0,0.500672328994968,"LOW HIGH",6.37819261489247
59,0,0.502460860897712,"LOW HIGH",6.27080628018158
89,0,0.50224011188227,"LOW HIGH",5.96205422117695
74,7,7.50036906074721,"LOW HIGH",18.272165175144
55,4,4.50008717829135,"LOW HIGH",15.7822212895737
98,1,1.49932535915657,"LOW HIGH",9.70940924721897
100,1,1.4998021998408,"LOW HIGH",10.6940252599497
11,5,5.50032073251326,"LOW HIGH",15.222122068289
83,3,3.50090388505309,"LOW HIGH",15.8516232201063
72,0,0.500203887906746,"LOW HIGH",6.42611292138208
57,3,3.50169380795091,"LOW HIGH",15.467450939144
98,1,1.49921702732293,"LOW HIGH",10.2754423369545
