"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG"
31,0,0.50098457245938,6.35620609406671,"LOW MED","early","low","R1"
12,0,0.500527331422823,5.84518076965154,"LOW MED","early","low","R1"
70,0,0.500085989303664,6.22186731368769,"LOW MED","early","low","R1"
30,2,2.49935355454663,12.2331091971078,"LOW MED","early","low","R1"
52,1,1.49951592187965,9.50887629833767,"LOW MED","early","low","R1"
98,0,0.499325052757543,6.23140714831648,"LOW MED","late","med","R1"
83,1,1.49931421188884,10.0988894791063,"LOW MED","late","med","R1"
47,0,0.499056697584431,6.57867236332757,"LOW MED","early","low","R1"
51,4,4.49948061312538,15.3228910296621,"LOW MED","early","low","R1"
82,0,0.499515818852882,6.08442420656976,"LOW MED","late","med","R1"
94,0,0.50055559568564,6.26380577045842,"LOW MED","late","med","R1"
61,0,0.499569498080194,5.94243205640368,"LOW MED","early","low","R1"
95,2,2.49938701498054,12.7235878750698,"LOW MED","late","med","R1"
54,0,0.498850956482596,6.19419352990901,"LOW MED","early","low","R1"
13,2,2.50019975199746,12.3031831368435,"LOW MED","early","low","R1"
40,0,0.500175606042879,6.42532292000273,"LOW MED","early","low","R1"
18,2,2.50114645370464,12.7562531925096,"LOW MED","early","low","R1"
10,2,2.50034829598338,13.2335733784697,"LOW MED","early","low","R1"
36,6,6.499206431249,19.2694030898384,"LOW MED","early","low","R1"
24,2,2.49906643325705,11.0506829152192,"LOW MED","early","low","R1"
68,0,0.499607072213375,6.3238792291033,"LOW MED","early","low","R1"
22,0,0.498184336908323,6.02482530205138,"LOW MED","early","low","R1"
51,0,0.50098738495424,6.30153641034895,"LOW MED","early","low","R1"
44,0,0.499596790569776,6.10884543914978,"LOW MED","early","low","R1"
55,0,0.500683054882338,6.63412630775015,"LOW MED","early","low","R1"
6,3,3.50003149077202,14.6249854220196,"LOW MED","early","low","R1"
53,3,3.49993914687623,13.9399182001811,"LOW MED","early","low","R1"
89,3,3.49950273037576,13.3716033439745,"LOW MED","late","med","R1"
28,5,5.50139576953919,15.6976050614895,"LOW MED","early","low","R1"
28,0,0.499778681625209,6.22063661069554,"LOW MED","early","low","R1"
37,0,0.500259216938311,6.53155712625395,"LOW MED","early","low","R1"
0,0,0.499316934600656,6.18877370971872,"LOW MED","early","low","R1"
34,0,0.499931334773987,6.3807786783493,"LOW MED","early","low","R1"
65,0,0.500597754227443,5.9386701757056,"LOW MED","early","low","R1"
6,5,5.49976500740893,18.473589130629,"LOW MED","early","low","R1"
67,2,2.50008493022349,12.4442415293523,"LOW MED","early","low","R1"
34,7,7.50185650313718,19.0995315147216,"LOW MED","early","low","R1"
7,1,1.50032493851697,9.4910812157757,"LOW MED","early","low","R1"
28,0,0.498486628082263,6.25865096823298,"LOW MED","early","low","R1"
16,0,0.501866977976131,6.34579851301999,"LOW MED","early","low","R1"
28,0,0.499694379893621,6.45406902562809,"LOW MED","early","low","R1"
25,0,0.499154273819677,6.24277674750891,"LOW MED","early","low","R1"
43,3,3.49994112577283,15.4977643822797,"LOW MED","early","low","R1"
72,0,0.500365364931918,6.19998977623911,"LOW MED","early","low","R1"
26,0,0.499725904450053,6.24711888020333,"LOW MED","early","low","R1"
9,6,6.49899487659405,19.6936281097165,"LOW MED","early","low","R1"
27,0,0.501888731634394,6.08256326765476,"LOW MED","early","low","R1"
43,3,3.50085513582412,14.3624744017416,"LOW MED","early","low","R1"
15,3,3.500234368921,15.5685573430586,"LOW MED","early","low","R1"
97,0,0.500524075387075,6.06122678585001,"LOW MED","late","med","R1"
25,0,0.499421190847607,6.46350934174018,"LOW MED","early","low","R1"
50,3,3.5010361213742,14.5004925131277,"LOW MED","early","low","R1"
44,5,5.49957331107306,16.6945520157664,"LOW MED","early","low","R1"
38,6,6.50047439923608,18.7777943248157,"LOW MED","early","low","R1"
34,2,2.49874595854244,12.0273167527431,"LOW MED","early","low","R1"
78,1,1.5007875872606,9.67693328371822,"LOW MED","late","med","R1"
8,0,0.499810473591172,6.48306461690533,"LOW MED","early","low","R1"
16,0,0.50159048596187,6.12346937859067,"LOW MED","early","low","R1"
34,1,1.49944093166591,9.70426442831527,"LOW MED","early","low","R1"
30,4,4.50060368532014,15.4874840836023,"LOW MED","early","low","R1"
95,2,2.49874854347181,12.2067987753569,"LOW MED","late","med","R1"
11,8,8.50165341952902,18.0804619043998,"LOW MED","early","low","R1"
22,3,3.49986251954759,14.2647237851321,"LOW MED","early","low","R1"
81,2,2.50171360528592,12.7010677843368,"LOW MED","late","med","R1"
7,0,0.499488287247891,6.37380105962563,"LOW MED","early","low","R1"
12,8,8.49794844109902,21.8821341811802,"LOW MED","early","low","R1"
98,4,4.49930596836304,16.3531344201808,"LOW MED","late","med","R1"
53,2,2.49942908680457,12.7349207331121,"LOW MED","early","low","R1"
19,0,0.498805106796263,6.3467111621455,"LOW MED","early","low","R1"
53,0,0.498841402193878,6.0903922025113,"LOW MED","early","low","R1"
18,14,14.4997898255802,20.749223997134,"LOW MED","early","low","R1"
90,0,0.499982515663783,6.47016951460339,"LOW MED","late","med","R1"
34,4,4.50073678437801,14.9950821689084,"LOW MED","early","low","R1"
32,8,8.49763272732227,20.6973659560438,"LOW MED","early","low","R1"
42,0,0.499750882445466,5.99931053721274,"LOW MED","early","low","R1"
12,1,1.50092418532705,9.57631613674899,"LOW MED","early","low","R1"
2,2,2.50000199631024,13.483865381441,"LOW MED","early","low","R1"
23,1,1.50045755900754,9.94701468836254,"LOW MED","early","low","R1"
83,2,2.49930096049484,13.0629520321509,"LOW MED","late","med","R1"
91,0,0.501257807204238,6.24389176554819,"LOW MED","late","med","R1"
100,2,2.50122310340816,12.558697869295,"LOW MED","late","med","R1"
16,2,2.50050763829869,13.3455017340132,"LOW MED","early","low","R1"
55,0,0.502613158566732,6.15595987012938,"LOW MED","early","low","R1"
61,0,0.501054263070116,6.13939746588802,"LOW MED","early","low","R1"
46,2,2.49950913409867,11.6487885640789,"LOW MED","early","low","R1"
