"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG"
34,12,12.5004288976619,17.406860984383,"MED HIGH NA",0,"R1"
2,0,0.501698518027511,6.19003813813061,"MED HIGH NA",0,"R1"
46,0,0.498852922686855,6.40136944031802,"MED HIGH NA",0,"R1"
24,3,3.50007693735133,15.0004118637384,"MED HIGH NA",0,"R1"
20,1,1.50078412387227,9.97495602727174,"MED HIGH NA",0,"R1"
99,0,0.501148004139963,6.36213677628991,"MED HIGH NA",0.350527382013388,"R1"
5,3,3.50189643246753,14.1286313589371,"MED HIGH NA",0,"R1"
63,4,4.49954971585965,16.2917040240133,"MED HIGH NA",0.272336080553941,"R1"
42,1,1.49987158537499,10.4332053492104,"MED HIGH NA",0,"R1"
56,0,0.499379079789717,6.26025455926047,"MED HIGH NA",0.216207691165619,"R1"
52,10,10.4991763389987,19.5317488931927,"MED HIGH NA",0.234093437343836,"R1"
53,0,0.498200583361712,6.2996291162097,"MED HIGH NA",0.206868617725559,"R1"
57,0,0.500400001900007,6.12494014283985,"MED HIGH NA",0.219257984985597,"R1"
46,2,2.50095871859628,12.2496230980829,"MED HIGH NA",0,"R1"
18,0,0.501106132182171,6.25882782437187,"MED HIGH NA",0,"R1"
26,12,12.499481227641,18.4188775815086,"MED HIGH NA",0,"R1"
75,2,2.49886247994693,12.6841385907116,"MED HIGH NA",0.380099129816517,"R1"
36,1,1.50019182091465,9.25579020272367,"MED HIGH NA",0,"R1"
14,0,0.499454386279641,6.33373716624516,"MED HIGH NA",0,"R1"
2,0,0.49914444298111,6.06821798825648,"MED HIGH NA",0,"R1"
55,2,2.50092323235738,13.3841271410094,"MED HIGH NA",0.247490019770339,"R1"
17,8,8.49997693003136,17.8650962336876,"MED HIGH NA",0,"R1"
14,1,1.50042544901097,9.14699577818383,"MED HIGH NA",0,"R1"
60,0,0.500280443120216,6.22225527677259,"MED HIGH NA",0.254311855486594,"R1"
51,1,1.49998005685951,9.42460679568098,"MED HIGH NA",0.25103593673557,"R1"
99,3,3.50047576576496,14.0132042303453,"MED HIGH NA",0.394055321067572,"R1"
10,1,1.5008606965824,10.2052522632878,"MED HIGH NA",0,"R1"
65,3,3.4996885973128,14.0750914564658,"MED HIGH NA",0.295168307889253,"R1"
50,1,1.49989102479584,9.72332194470163,"MED HIGH NA",0.231143384077586,"R1"
18,2,2.49853785631106,13.2530016097853,"MED HIGH NA",0,"R1"
38,3,3.49993017909227,15.3276506413187,"MED HIGH NA",0,"R1"
19,2,2.50089948119779,12.2458912761954,"MED HIGH NA",0,"R1"
5,3,3.50065486157804,13.3918511258366,"MED HIGH NA",0,"R1"
16,0,0.500064270326604,6.12480625893421,"MED HIGH NA",0,"R1"
45,4,4.49978240240884,15.1281712754079,"MED HIGH NA",0,"R1"
38,1,1.49810711520298,9.79009716988457,"MED HIGH NA",0,"R1"
27,9,9.5001708965251,19.9879482234731,"MED HIGH NA",0,"R1"
10,4,4.50022658559191,15.9347143639748,"MED HIGH NA",0,"R1"
62,0,0.501174367706217,6.0519744508319,"MED HIGH NA",0.233484200015664,"R1"
21,3,3.49887338960165,13.669162354697,"MED HIGH NA",0,"R1"
8,3,3.499933401676,15.2197753552683,"MED HIGH NA",0,"R1"
49,0,0.499694320464373,6.45638567671095,"MED HIGH NA",0,"R1"
66,0,0.499169634328181,6.29958109635098,"MED HIGH NA",0.262715476355515,"R1"
64,4,4.49982796453591,15.4997103104032,"MED HIGH NA",0.284706570650451,"R1"
33,2,2.50041911810997,12.4437071040058,"MED HIGH NA",0,"R1"
43,11,11.5011704297983,21.886732041262,"MED HIGH NA",0,"R1"
49,2,2.50028531933456,11.8675659408125,"MED HIGH NA",0,"R1"
28,4,4.4992231653616,16.7288794717045,"MED HIGH NA",0,"R1"
47,0,0.499656814690531,6.34379215044769,"MED HIGH NA",0,"R1"
39,1,1.49955882915128,10.5153556720386,"MED HIGH NA",0,"R1"
6,1,1.5001997353955,9.85107360555875,"MED HIGH NA",0,"R1"
30,5,5.49862146799437,20.2267978727741,"MED HIGH NA",0,"R1"
49,0,0.499766931747167,6.21635798378689,"MED HIGH NA",0,"R1"
