"0","library(lattice)"
"0","require(dplyr)"
"2","Loading required package: dplyr
"
"2","
Attaching package: ‘dplyr’

"
"2","The following objects are masked from ‘package:stats’:

    filter, lag

"
"2","The following objects are masked from ‘package:base’:

    intersect, setdiff, setequal, union

"
"0","require(purrr)"
"2","Loading required package: purrr
"
"0","require(tidyr)"
"2","Loading required package: tidyr
"
"0","require(ggplot2)"
"2","Loading required package: ggplot2
"
"0","# knitr::opts_chunk$set(root.dir =  ""C:/Users/Maia Kapur/Dropbox/UW/sab-growth/iPopSim"")"
"0","rm(list = ls())"
