"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG","Latitude_dd"
73,0,0.498233535874123,5.98407612822021,"LOW MED MED",0.253735797619447,"R0",13.61070855055
98,0,0.498994562895556,6.35531840515768,"LOW MED MED",0.217930404609069,"R0",49.0269077476114
65,3,3.50025975021428,14.1095102214231,"LOW MED MED",0.152546471520327,"R0",8.44915584893897
68,1,1.50058074144355,9.88630598563715,"LOW MED MED",0.260439595510252,"R0",36.2429113592952
68,0,0.499923520902249,6.29346227982322,"LOW MED MED",0.270817385031842,"R0",16.5101030259393
50,1,1.49789327871286,9.88806752145747,"LOW MED MED",0.184634029702283,"R0",2.38567912019789
66,1,1.49932057613204,9.83109692350533,"LOW MED MED",0.118945276248269,"R0",12.4376494903117
70,1,1.50096925361531,9.52981584782635,"LOW MED MED",0.206648529763334,"R0",42.7285620709881
88,1,1.49911466946776,10.0526961580797,"LOW MED MED",0.281632872112095,"R0",48.772583110258
59,1,1.49872612571558,10.0267212718048,"LOW MED MED",0.174776500277221,"R0",20.6214474281296
61,2,2.5001556606945,13.4411539537654,"LOW MED MED",0.155765102733858,"R0",22.3468948388472
64,6,6.49985956682494,18.1653436973141,"LOW MED MED",0.156275594816543,"R0",25.9405316319317
73,5,5.50102560479046,17.8431168922445,"LOW MED MED",0.276490599615499,"R0",44.9552470468916
57,0,0.499970057490054,6.34636045119212,"LOW MED MED",0.148187190992758,"R0",10.182916582562
54,7,7.49950175280319,17.5001599607525,"LOW MED MED",0.112837436096743,"R0",17.1304817893542
89,1,1.49924596742494,9.37168367220943,"LOW MED MED",0.29796833244618,"R0",11.7492880439386
71,1,1.49965816185604,9.87520679563152,"LOW MED MED",0.201025253394619,"R0",31.0369469923899
91,1,1.4997777040538,9.88050629285398,"LOW MED MED",0.229985808557831,"R0",18.2028158800676
52,2,2.5000825039888,13.0205616725137,"LOW MED MED",0.147798155318014,"R0",28.7378791719675
91,0,0.50104072484669,6.25560282198744,"LOW MED MED",0.24094386047218,"R0",35.0768681266345
66,2,2.49986736807785,13.2838357339067,"LOW MED MED",0.150368326879106,"R0",22.9555118596181
68,0,0.499777423079784,6.20503741953647,"LOW MED MED",0.287147737690248,"R0",9.58394886692986
92,0,0.500752589385438,6.33518955561366,"LOW MED MED",0.229675664706156,"R0",29.8133107367903
73,7,7.49927935554037,17.9297823649358,"LOW MED MED",0.216180343786255,"R0",22.8759216261096
96,0,0.499338397967974,6.07213136433839,"LOW MED MED",0.258092975290492,"R0",23.4636877896264
62,2,2.50068663697259,13.3304141865993,"LOW MED MED",0.122774796932936,"R0",23.6175439902581
61,1,1.50023214426958,9.44827399876026,"LOW MED MED",0.165235186670907,"R0",10.0241196574643
71,7,7.49973972411308,18.2885203379166,"LOW MED MED",0.201025253394619,"R0",4.50270553119481
99,1,1.49864714659488,9.76669032740817,"LOW MED MED",0.22285197249148,"R0",29.5165445189923
72,5,5.50162905888697,19.248330928177,"LOW MED MED",0.295434312825091,"R0",27.5672081159428
61,8,8.49943152177815,23.164941098327,"LOW MED MED",0.155765102733858,"R0",8.44138176180422
54,0,0.49903131152595,6.23976861201165,"LOW MED MED",0.191996473493055,"R0",7.47358008520678
53,6,6.49997692741251,20.3526403287999,"LOW MED MED",0.150354415830225,"R0",34.4501007348299
86,3,3.50113994684315,15.0140737379391,"LOW MED MED",0.289398801070638,"R0",44.9784321361221
55,1,1.50091961698904,10.1641210859974,"LOW MED MED",0.198818531818688,"R0",18.3468842529692
59,5,5.50077300404499,17.4373132082811,"LOW MED MED",0.174776500277221,"R0",0.720532902050763
89,3,3.50082052802253,16.046061731243,"LOW MED MED",0.29796833244618,"R0",18.0058402242139
87,0,0.498915343066222,6.36271027256919,"LOW MED MED",0.255444429186173,"R0",46.8360577709973
56,3,3.50065359396968,14.3932385466431,"LOW MED MED",0.151733818720095,"R0",7.60991581482813
70,0,0.499227353564573,6.36890969488549,"LOW MED MED",0.213960469537415,"R0",44.3324333522469
76,2,2.50013102508991,12.6935319950622,"LOW MED MED",0.269009629357606,"R0",39.3679536646232
65,3,3.4994471596346,13.8114556122587,"LOW MED MED",0.151538046356291,"R0",46.9425294199027
88,0,0.499522183694531,6.52753691433868,"LOW MED MED",0.232086738245562,"R0",31.0780677013099
100,1,1.4992566185978,8.98818015126704,"LOW MED MED",0.201062116888352,"R0",29.6529843937606
98,0,0.49967459658385,6.10068643137532,"LOW MED MED",0.217930404609069,"R0",46.5108231059276
59,3,3.49966927456805,14.536740983418,"LOW MED MED",0.129142808169127,"R0",11.4416018943302
53,2,2.50148126386168,12.5823424650975,"LOW MED MED",0.150354415830225,"R0",25.1136117032729
53,0,0.500590512825803,6.2878614565517,"LOW MED MED",0.161838112818077,"R0",21.6219640336931
59,6,6.49971627391558,21.2310974527377,"LOW MED MED",0.174776500277221,"R0",5.94111359678209
85,0,0.49936875946174,6.35644807196509,"LOW MED MED",0.289666200336069,"R0",44.6111935772933
66,0,0.50095097332657,6.15646524386289,"LOW MED MED",0.150368326879106,"R0",18.6751489760354
51,3,3.49834432713878,13.8310603600437,"LOW MED MED",0.115888996445574,"R0",44.8426177958027
52,0,0.499090187355794,6.24009041062072,"LOW MED MED",0.118984759482555,"R0",24.5432313880883
72,0,0.499263452288859,5.97862995681897,"LOW MED MED",0.239857889618725,"R0",35.5427817441523
85,5,5.50066516519403,20.7758425071983,"LOW MED MED",0.289666200336069,"R0",39.1910510370508
82,2,2.49846036358129,13.6225199987172,"LOW MED MED",0.280376729881391,"R0",6.01296294480562
