"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG","Latitude_dd"
99,0,0.498894829380793,6.04685319321125,"MED LOW NA",0.112183101451956,"R1",19.477537414059
50,6,6.49968117258635,17.1572174437229,"MED LOW NA",0.242994249844924,"R1",7.71379904472269
66,2,2.49868067963677,12.1622874180796,"MED LOW NA",0.238900549104437,"R1",0.276596460025758
66,0,0.499781603899487,6.07809618263384,"MED LOW NA",0.294179339823313,"R1",6.55122341704555
55,2,2.49986903854756,13.4481222848075,"MED LOW NA",0.23502984046936,"R1",8.76320633105934
64,0,0.499159370463132,6.50798806274459,"MED LOW NA",0.258267272100784,"R1",19.1504642600194
94,3,3.50193685132915,15.5417528355572,"MED LOW NA",0.199696029559709,"R1",3.2658085168805
63,1,1.50176505711579,9.98084054540742,"MED LOW NA",0.273772078892216,"R1",15.0073007971514
84,4,4.49914291014937,17.3798676432535,"MED LOW NA",0.125537527399138,"R1",2.14297678903677
66,7,7.49957928291405,18.462624354273,"MED LOW NA",0.219262251770124,"R1",10.9999106090982
81,2,2.49851443900589,12.3468626639345,"MED LOW NA",0.120240327110514,"R1",20.252701890422
74,1,1.49950272700804,9.53888806267625,"MED LOW NA",0.265262932190672,"R1",22.8836237394717
99,0,0.501095103334902,6.31645902131493,"MED LOW NA",0.196782038616948,"R1",4.6270701684989
74,3,3.50027268947384,14.052002145699,"MED LOW NA",0.265262932190672,"R1",14.134283864405
64,1,1.49772548025417,9.77388287108858,"MED LOW NA",0.290816877270117,"R1",18.6134146701079
87,5,5.50205774169962,18.2625468383695,"MED LOW NA",0.181430699047633,"R1",22.2913109057117
54,0,0.49915319787855,6.12876049857931,"MED LOW NA",0.26147276959382,"R1",15.494481252972
61,2,2.50039145722722,12.9767958064354,"MED LOW NA",0.221507721091621,"R1",16.8112023500726
86,0,0.498707203141378,6.14537811367746,"MED LOW NA",0.179478423856199,"R1",2.7942081738729
75,3,3.50113528749252,15.9005032621126,"MED LOW NA",0.130894674989395,"R1",3.36748671834357
97,0,0.499003589947474,6.22679404540655,"MED LOW NA",0.183000967861153,"R1",13.5677395155653
92,6,6.49789661860419,19.3683247160158,"MED LOW NA",0.19658994525671,"R1",19.1318405151833
82,7,7.5011706559911,17.9706813512805,"MED LOW NA",0.164778517908417,"R1",20.6121616589371
54,8,8.4994019341137,18.2561304861157,"MED LOW NA",0.277897508419119,"R1",23.5234389372636
80,9,9.49904713302706,20.5353128002943,"MED LOW NA",0.194268134399317,"R1",19.6939703484531
94,2,2.50102716454065,12.5150701240097,"MED LOW NA",0.179175945837051,"R1",19.4689656433184
51,5,5.49845569487584,17.3977790575969,"MED LOW NA",0.277515824977309,"R1",4.26007691421546
91,2,2.49829976948458,13.7396286953023,"MED LOW NA",0.102491122949868,"R1",17.5408762414008
88,0,0.499351835797529,6.15175412911133,"MED LOW NA",0.114755383320153,"R1",11.7512622731738
61,0,0.499820845495439,6.345909755894,"MED LOW NA",0.28873739070259,"R1",3.35115411435254
82,0,0.498675653332253,6.11357980211932,"MED LOW NA",0.177582753705792,"R1",1.60853241104633
90,0,0.500487167133848,6.27022763473315,"MED LOW NA",0.115649103396572,"R1",11.6158845077734
86,1,1.50169012310272,9.48071144746905,"MED LOW NA",0.189750845078379,"R1",13.9188617817126
83,3,3.50078746885036,14.0796770678336,"MED LOW NA",0.187914308952168,"R1",11.892401840305
52,4,4.50016494341091,15.5982594905702,"MED LOW NA",0.272183034778573,"R1",8.97705229581334
50,8,8.50097525525803,20.4103792777341,"MED LOW NA",0.242994249844924,"R1",8.16817564773373
61,2,2.49807491438626,13.0672591501751,"MED LOW NA",0.28873739070259,"R1",1.09203131869435
58,1,1.50128040140185,9.82461828958067,"MED LOW NA",0.274571084277704,"R1",24.0944316494279
52,5,5.49943600368916,16.1923662859148,"MED LOW NA",0.297628617030568,"R1",14.2227166739758
51,9,9.5016424991379,20.7688097998685,"MED LOW NA",0.211622982565314,"R1",2.52368700457737
50,1,1.50075964659894,9.56754080855743,"MED LOW NA",0.237076127552427,"R1",19.043924176367
52,2,2.50123198452615,13.0732812201732,"MED LOW NA",0.290225656027906,"R1",15.1713354163803
86,0,0.500749106263001,6.51834655278841,"MED LOW NA",0.179478423856199,"R1",1.2882539362181
81,2,2.50054762113053,12.0641087343069,"MED LOW NA",0.132281560194679,"R1",11.5142554510385
92,2,2.49889132653656,11.637646031224,"MED LOW NA",0.179640396591276,"R1",10.7585521938745
85,1,1.50024596724971,9.72576822650497,"MED LOW NA",0.183104733657092,"R1",23.2980962609872
78,3,3.49854012341426,15.5560297491681,"MED LOW NA",0.178193201473914,"R1",20.6777729210444
56,0,0.498808289470393,6.22469400808976,"MED LOW NA",0.227365991729312,"R1",14.2077156633604
54,1,1.4997460758401,9.15544918661472,"MED LOW NA",0.277897508419119,"R1",16.5974356466904
89,0,0.500331669214938,6.28026711955133,"MED LOW NA",0.180741091957316,"R1",18.459847162012
51,5,5.50081021002166,18.8949747977157,"MED LOW NA",0.277515824977309,"R1",5.32155297114514
58,2,2.50030303016815,12.7468444930061,"MED LOW NA",0.258097291993909,"R1",23.1846207578201
75,2,2.49969310796019,12.6975364820262,"MED LOW NA",0.142581698158756,"R1",18.4960998594761
81,1,1.50103469467596,10.1052740411877,"MED LOW NA",0.132281560194679,"R1",11.3497809448745
85,0,0.498901308061925,6.33343674870699,"MED LOW NA",0.140402203565463,"R1",0.645927648292854
72,1,1.49855916289215,9.53624107103296,"MED LOW NA",0.232477343711071,"R1",24.2937962291762
