"Year","Age","AgeE","Length_cm","FSIM","block","Flev","REG","Latitude_dd"
64,1,1.4991427267832,9.59416090953628,"HIGH LOW","early","high","R1",9.48869034973904
75,0,0.501437536721469,6.32756858564074,"HIGH LOW","late","low","R1",4.250316970516
70,0,0.501276474831948,6.38911950383392,"HIGH LOW","early","high","R1",9.77636231062934
64,1,1.49852546877232,9.85396224411635,"HIGH LOW","early","high","R1",3.37789524579421
78,3,3.49916214858008,14.2089114802186,"HIGH LOW","late","low","R1",12.7651911745779
75,0,0.497953020586654,6.36336680771207,"HIGH LOW","late","low","R1",2.85140034276992
64,1,1.50007276484899,9.6878181284321,"HIGH LOW","early","high","R1",12.3863300685771
71,2,2.50034595493149,13.4711778179921,"HIGH LOW","early","high","R1",10.6427950994112
97,3,3.49786588328659,15.2171029615417,"HIGH LOW","late","low","R1",12.241445413325
85,2,2.49974783858726,12.0555766021296,"HIGH LOW","late","low","R1",3.58801489230245
84,0,0.499615537980279,6.13394636284252,"HIGH LOW","late","low","R1",7.40702783083543
70,0,0.498019000575708,5.88661833295179,"HIGH LOW","early","high","R1",13.1387377358042
75,9,9.50055486949728,19.330499556413,"HIGH LOW","late","low","R1",12.8817938901484
95,0,0.499033718777101,6.02452363913729,"HIGH LOW","late","low","R1",8.99035086389631
91,0,0.499182051722904,5.93049907794423,"HIGH LOW","late","low","R1",9.10864868108183
63,2,2.50054539335714,12.1061747621407,"HIGH LOW","early","high","R1",0.250927691813558
72,0,0.500697346661207,6.31413774024647,"HIGH LOW","early","high","R1",5.30562049383298
71,0,0.499275099137293,6.32662600927315,"HIGH LOW","early","high","R1",9.36472554365173
89,5,5.50092246510154,15.384304020325,"HIGH LOW","late","low","R1",8.81831339467317
85,1,1.50009471745262,9.76118409244732,"HIGH LOW","late","low","R1",12.5003140633926
63,3,3.500083638818,15.0356080730323,"HIGH LOW","early","high","R1",11.9461029032245
67,0,0.500507252543191,6.23856092871564,"HIGH LOW","early","high","R1",1.57476908527315
