"Year","Age","AgeE","Length_cm","FSIM","FMORT","REG","Latitude_dd"
95,1,1.50066638444683,10.2721033601986,"HIGH HIGH HIGH",0.362447667075321,"R0",42.8404236212373
79,0,0.50168848683957,6.38472155680521,"HIGH HIGH HIGH",0.30276710242033,"R0",28.3162375446409
68,0,0.499132507620156,6.15244044833581,"HIGH HIGH HIGH",0.301677289721556,"R0",18.6618851497769
64,1,1.50027269799572,9.71596006168194,"HIGH HIGH HIGH",0.343445078586228,"R0",19.5775414118543
86,0,0.500434119445229,6.07271662722488,"HIGH HIGH HIGH",0.331441417732276,"R0",40.5512181343511
75,6,6.50089485166372,18.9653323401491,"HIGH HIGH HIGH",0.356324035325088,"R0",6.69144903076813
89,1,1.49992504567829,9.21821852427999,"HIGH HIGH HIGH",0.38489211469423,"R0",33.8667813804932
73,6,6.4996692434183,19.3916290635198,"HIGH HIGH HIGH",0.395886182948016,"R0",33.7338714394718
88,2,2.49786358797437,11.8746708485546,"HIGH HIGH HIGH",0.397386928834021,"R0",15.6352577148937
51,0,0.499564034225073,6.31757864573049,"HIGH HIGH HIGH",0.37401161629241,"R0",46.4861886459403
72,3,3.50013254534669,16.0286635635673,"HIGH HIGH HIGH",0.30829959618859,"R0",29.958061571233
57,4,4.50188347760451,16.4508526922233,"HIGH HIGH HIGH",0.373145470931195,"R0",9.87556034233421
80,0,0.500031384262778,6.09388323700485,"HIGH HIGH HIGH",0.363978328369558,"R0",42.3632451682352
88,1,1.49984897718419,9.68659231122955,"HIGH HIGH HIGH",0.354998012958094,"R0",10.6381188845262
80,0,0.499494282658225,5.991663175313,"HIGH HIGH HIGH",0.341347603918985,"R0",31.7721999133937
68,0,0.500562772243174,6.11947533606843,"HIGH HIGH HIGH",0.318746403115801,"R0",2.31233551166952
56,0,0.499078194167504,6.53456808477107,"HIGH HIGH HIGH",0.321598466043361,"R0",21.5966458548792
88,0,0.501240428796798,6.00923881184955,"HIGH HIGH HIGH",0.353860193514265,"R0",23.687921767123
